name_7199#0,"""グイーデン"""
ssn_014811_0101#0,"""よし、それでは話すとしよう。"""
ssn_014811_0102#0,"""キミは、“戦闘力”を意識して戦っているだろうか？"""
ssn_014811_0103#0,"""戦闘力は、そのアークスの能力を、<br>各々のマグが総合的に判断して算出している。"""
ssn_014811_0104#0,"""その数値は、キミ自身の身体能力だけでなく、<br>武器や防具の性能も反映される。"""
ssn_014811_0105#0,"""装備品をどのように鍛えるかも<br>重要というわけだな。"""
ssn_014811_0106#0,"""もちろん、特殊能力のセッティングも、<br>戦闘力に影響する。"""
ssn_014811_0107#0,"""武器を鍛えるだけで、細かな調整をしていなければ、<br>この機会にぜひとも試してほしい。"""
ssn_014811_0108#0,"""まずは、アイテムラボで<br>“特殊能力カプセル”の交換方法を確認してみてくれ。"""
ssn_014811_0109#0,"""そうだな、今回は必要になりそうな素材を渡しておこう。"""
ssn_014811_0110#0,"""C/スタミナⅡを10個、C/スピリタⅡを10個、C/パワーⅡを10個、C/シュートⅡを10個入手しました。"""
ssn_014811_0111#0,"""C/テクニックⅡを10個、フォトンクォーツを50個、トライナイトを50個入手しました。"""
ssn_014811_0112#0,"""C/スタミナⅡを10個、フォトンクォーツを10個、トライナイトを10個入手しました。"""
ssn_014811_0113#0,"""どのカプセルと交換するかは、キミに任せる。<br>やってみてくれ。"""
ssn_014811_0114#0,"""C/アビリティⅢを10個、C/パワーⅣを10個入手しました。"""
ssn_014811_0115#0,"""C/シュートⅣを10個、C/テクニックⅣを10個入手しました。"""
ssn_014811_0116#0,"""フォトンクォーツを50個、テドラサイトを50個入手しました。"""
ssn_014811_0117#0,"""C/アビリティⅢを10個入手しました。"""
ssn_014811_0118#0,"""フォトンクォーツを20個、テドラサイトを20個入手しました。"""
ssn_014811_0119#0,"""交換するカプセルだが、<br>“アビリティⅣ”あたりがおススメだ。"""
ssn_014811_0120#0,"""では、やってみてくれ。"""
