11_voice_NPC_5059_101#0,"""嗯......啊，是你啊。<br>正好，這個你拿去吧。"""
Npc59_favs_before_020#0,"""這東西對我來說很多餘。"""
Npc59_favs_after_010#0,"""謝禮？\u3000我不需要這種東西。<br>更重要的是<br>要多殺一點達卡。"""
Npc59_favs_after_020#0,"""希望你能藉由這個東西，<br>多殺死一點達卡。<br>這就是對我最好的報答。"""
11_voice_NPC_5059_101#1,"""ん……あぁ、あんたか。<br>ちょうどいい、これを持っていって。"""
Npc59_favs_before_020#1,"""アタシには邪魔なだけだから。"""
Npc59_favs_after_010#1,"""礼？\u3000そんなものはいらないよ。<br>それよりも、ダーカーを殺して<br>くることのほうが重要だ。"""
Npc59_favs_after_020#1,"""そいつを役に立てて、より一層<br>ダーカーを狩ってきてくれること。<br>それが一番の礼だよ。"""
Npc59_favs_present_010#0,"""得到拉薇兒給予的『合成器』。"""
Npc59_favs_present_020#0,"""得到拉薇兒給予的『波卡戰舞』。"""
Npc59_favs_present_030#0,"""得到拉薇兒給予的『死亡交響曲』。"""
Npc59_favs_present_040#0,"""得到拉薇兒給予的『合成器』。"""
Npc59_favs_present_050#0,"""得到拉薇兒給予的『野性狂想曲』。"""
Npc59_favs_present_060#0,"""得到拉薇兒給予的『暗黑詼諧曲』。"""
Npc59_favs_present_070#0,"""得到拉薇兒給予的『合成器』。"""
Npc59_favs_present_080#0,"""得到拉薇兒給予的『劍刃圓舞曲』。"""
Npc59_favs_present_090#0,"""得到拉薇兒給予的『迅捷行進曲』。"""
Npc59_favs_present_100#0,"""得到拉薇兒給予的『合成器』。"""
Npc59_favs_present_010#1,"""ラヴェールから『シンセサイザー』を受け取りました。"""
Npc59_favs_present_020#1,"""ラヴェールから『シュートポルカ』を受け取りました。"""
Npc59_favs_present_030#1,"""ラヴェールから『シンフォニックドライブ』を受け取りました。"""
Npc59_favs_present_040#1,"""ラヴェールから『シンセサイザー』を受け取りました。"""
Npc59_favs_present_050#1,"""ラヴェールから『ワイルドラプソディ』を受け取りました。"""
Npc59_favs_present_060#1,"""ラヴェールから『ダークスケルツォ』を受け取りました。"""
Npc59_favs_present_070#1,"""ラヴェールから『シンセサイザー』を受け取りました。"""
Npc59_favs_present_080#1,"""ラヴェールから『オウルケストラー』を受け取りました。"""
Npc59_favs_present_090#1,"""ラヴェールから『クイックマーチ』を受け取りました。"""
Npc59_favs_present_100#1,"""ラヴェールから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5059_100#0,"""我不會因為身為ARKS<br>就想親近你。<br>我只要打倒達卡就好了。"""
11_voice_NPC_5059_100#1,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_100#2,"""我不會因為身為ARKS<br>就想親近你。<br>我只要打倒達卡就好了。"""
11_voice_NPC_5059_100#3,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_101#2,"""對ARKS而言，盡量消滅多一點達卡，<br>才是真正的榮譽不是嗎？<br>我們是為了這個目的而存在的。"""
11_voice_NPC_5059_101#3,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_101#4,"""對ARKS而言，盡量消滅多一點達卡，<br>才是真正的榮譽不是嗎？<br>我們是為了這個目的而存在的。"""
11_voice_NPC_5059_101#5,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_100#4,"""雖然這樣對原生生物很抱歉，<br>但既然變成達卡了，<br>就只好把牠打倒。"""
Npc59_05_020#0,"""打倒了所有的達卡後，<br>不論因此受到什麼懲罰，<br>我都欣然接受。"""
11_voice_NPC_5059_100#5,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_05_020#1,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#6,"""雖然這樣對原生生物很抱歉，<br>但既然變成達卡了，<br>就只好把牠打倒。"""
Npc59_06_020#0,"""打倒了所有的達卡後，<br>不論因此受到什麼懲罰，<br>我都欣然接受。"""
11_voice_NPC_5059_100#7,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_06_020#1,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#8,"""雖然這樣對原生生物很抱歉，<br>但既然變成達卡了，<br>就只好把牠打倒。"""
Npc59_07_020#0,"""打倒了所有的達卡後，<br>不論因此受到什麼懲罰，<br>我都欣然接受。"""
11_voice_NPC_5059_100#9,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_07_020#1,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_102#0,"""可惡的達卡......又襲擊了我們<br>的歸處......"""
Npc59_08_020#0,"""絕不原諒，對不可原諒。<br>我絕對會把達卡全部打倒！"""
11_voice_NPC_5059_102#1,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_08_020#1,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#2,"""可惡的達卡......又襲擊了我們<br>的歸處......"""
Npc59_mb9_020#0,"""絕不原諒，對不可原諒。<br>我絕對會把達卡全部打倒！"""
11_voice_NPC_5059_102#3,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb9_020#1,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#4,"""可惡的達卡......又襲擊了我們<br>的歸處......"""
Npc59_mb10_020#0,"""絕不原諒，對不可原諒。<br>我絕對會把達卡全部打倒！"""
11_voice_NPC_5059_102#5,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb10_020#1,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#6,"""可惡的達卡......又襲擊了我們<br>的歸處......"""
Npc59_mb11_020#0,"""絕不原諒，對不可原諒。<br>我絕對會把達卡全部打倒！"""
11_voice_NPC_5059_102#7,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb11_020#1,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_101#6,"""魔人族？\u3000武士？<br>沒差，只要能幫忙打倒達卡，什麼都好。"""
11_voice_NPC_5059_101#7,"""デューマン？\u3000ブレイバー？<br>なんでもいいよ、ダーカーを倒すための<br>力になるんなら、なんでもね。"""
11_voice_NPC_5059_101#8,"""魔人族？\u3000武士？<br>沒差，只要能幫忙打倒達卡，什麼都好。"""
11_voice_NPC_5059_101#9,"""デューマン？\u3000ブレイバー？<br>なんでもいいよ、ダーカーを倒すための<br>力になるんなら、なんでもね。"""
11_voice_NPC_5059_101#10,"""魔人族？\u3000武士？<br>沒差，只要能幫忙打倒達卡，什麼都好。"""
11_voice_NPC_5059_101#11,"""デューマン？\u3000ブレイバー？<br>なんでもいいよ、ダーカーを倒すための<br>力になるんなら、なんでもね。"""
11_voice_NPC_5059_104#0,"""……あやしい空気が漂ってるね。<br>面倒くさそうな雰囲気だ。"""
