st_062080_0390#0,"""……夏歐。"""
st_062080_0400#0,"""夏歐。"""
st_062080_0410#0,"""夏歐！"""
st_062080_0420#0,"""夏歐！　起來吧、夏歐！<br>大家都在等着你呢！"""
st_062080_0430#0,"""沒有你、就沒辦法了！<br>不用在意我也可以<br>用這個身體……！"""
st_062080_0440#0,"""睜開眼睛！"""
st_062080_0450#0,"""……對不起、我說了違心的話。<br>這樣的話、誰也傳達不到。"""
st_062080_0460#0,"""我不想死。<br>不想失去這個身體。"""
st_062080_0470#0,"""而且最重要的是<br>我想和你在一起。<br>沒錯、因為我們約好了……"""
st_062080_0480#0,"""……不對。這也不對。這也是謊言。<br>我之所以想和你在一起<br>不是因爲一開始就約定了……"""
st_062080_0490#0,"""……我不知道該如何用語言<br>來表達這個含糊不清的理由。	<br>不知道怎麼說才好。"""
st_062080_0500#0,"""但是、我想和你在一起。<br>一起笑、一起生氣、一起吵架……<br>看各種各樣的事情、樂在其中……"""
st_062080_0510#0,"""我想和你一起走下去。"""
st_062080_0520#0,"""夏歐。我想和你在一起。<br>不是我和你成爲一體<br>而是作爲各自不同的存在。"""
st_062080_0530#0,"""站在一起、作爲一個人。"""
st_062080_0540#0,"""所以……所以夏歐……<br>拜託了、拜託了……"""
st_062080_0550#0,"""回來吧……！"""
