ssc_509040_0010#0,"""Ohh? It's you!"""
ssc_509040_0020#0,"""I heard the news.<br>You went to Stia, right?"""
ssc_509040_0030#0,"""Isn't it really rough over there?"""
ssc_509040_0040#0,"""I heard there's so many DOLLS that<br>there's fighting pretty much day and night."""
ssc_509040_0050#0,"""You seem to be alright,<br>but what about Manon and Aina?"""
ssc_509040_0060#0,"""They're doing well."""
ssc_509040_0070#0,"""They're pretty exhausted."""
ssc_509040_0080#0,"""They are? Thank goodness..."""
ssc_509040_0090#0,"""What?! Are they okay?"""
ssc_509040_0100#0,"""...W-Well, that's good, then..."""
ssc_509040_0110#0,"""We haven't spoken in a while,<br>so I was pretty worried."""
ssc_509040_0120#0,"""But seeing you in good spirits<br>puts my mind at ease."""
ssc_509040_0130#0,"""We'll be here if any of you need<br>someone to talk to, okay?"""
ssc_509040_0140#0,"""It's like I said before.<br>We'll support you three entirely."""
ssc_509040_0150#0,"""I'll keep that in mind."""
ssc_509040_0160#0,"""I'll let them know."""
ssc_509040_0170#0,"""Yep! Just say the word<br>and we'll be there."""
ssc_509040_0180#0,"""We might not all arrive at the same time, though..."""
ssc_509040_0190#0,"""Yeah, please do."""
ssc_509040_0200#0,"""It's been a while;<br>I'd like to talk to them soon."""
ssc_509040_0210#0,"""...Oh, yeah. I'll give you an update<br>on how things have been going here."""
ssc_509040_0220#0,"""According to Ilma, investigation into<br>Lost Central has been proceeding well."""
ssc_509040_0230#0,"""The ARKS from Aelio have<br>been actively helping out."""
ssc_509040_0240#0,"""We've also been getting<br>more ARKS from Retem as well."""
ssc_509040_0250#0,"""Apparently they've been helping out with<br>research and investigations in addition to combat."""
ssc_509040_0260#0,"""Grandpa told us that Retem ARKS<br>were all about strength, but..."""
ssc_509040_0270#0,"""I guess they're different<br>from how they were back then."""
ssc_509040_0280#0,"""Ilma's been in Grandpa's room sorting out<br>all of the data we gathered on-site."""
ssc_509040_0290#0,"""He said he's just gotta fact-check<br>all of the remaining documents."""
ssc_509040_0300#0,"""But... he hasn't found any other<br>messages left behind by Grandpa."""
ssc_509040_0310#0,"""We really thought Grandpa left more<br>clues within Lost Central, but..."""
ssc_509040_0320#0,"""He'll find them eventually."""
ssc_509040_0330#0,"""Maybe there are places he hasn't looked?"""
ssc_509040_0340#0,"""Yeah. We can't give up hope yet."""
ssc_509040_0350#0,"""Yeah. Places buried under the snow<br>haven't even been touched yet."""
ssc_509040_0360#0,"""We won't let it get to us.<br>We'll keep at it."""
ssc_509040_0370#0,"""Along with our search for<br>Grandpa's clues on rebuilding Kvaris."""
ssc_509040_0380#0,"""We'll call if we<br>make any developments."""
ssc_509040_0390#0,"""We might even need your<br>help with some stuff too."""
ssc_509040_0400#0,"""When that time comes, we'll<br>make sure it's worth your while."""
ssc_509040_0410#0,"""See you around!"""
