un_010080_0010#0,"""ไม่เลวเลยนี่<br><%me><br>เริ่มรู้สึกคุ้นเคยขึ้นมามากแล้วสินะ?"""
un_010080_0020#0,"""พูดก็พูดเถอะ ท่านอย่าวู่วามเกินไปนักล่ะ<br>เพราะว่าวู่วามอย่างท่านเนี่ย สักวันจู่ ๆ<br>อาจจะทำอะไรวู่วามเกินเหตุขึ้นมาก็ได้"""
un_010080_0030#0,"""ข้าก็ไม่ได้บอกว่าให้หยุดหรอกนะ?<br>ถ้าคิดว่าทำได้ก็ทำไปเถอะ เพียงแต่<br>ความกล้าที่จะถอยก็จำเป็นต้องมีเช่นกัน"""
un_010080_0040#0,"""ทว่าถ้ามีใครถ่วงมือถ่วงเท้าอยู่ข้าง ๆ<br>ไอ้เรื่องที่จะไม่ฝืนก็ลืมไปได้เลยน่ะนะ"""
un_010080_0050#0,"""ไอ้ที่ข้าพูดก็หมายถึงยัย Echo น่ะแหละ<br>ยัยนั่นน่ะในอีกความหมายนึงก็เหมือนโซ่ตรวน<br>ที่คอยรั้งไม่ให้ข้าทำอะไรฝืนจนเกินไป"""
un_010080_0060#0,"""แต่ก็ดันกลายเป็นว่าหลัง ๆ มานี่<br>โซ่ตรวนอันนั้นกลับวิ่งไปนู่นมานี่<br>ให้ข้าต้องคอยวิ่งตามไปปกป้องซะยังงั้น"""
un_010080_0070#0,"""งั้นก็ไว้เจอกัน"""
un_010080_0010#1,"""やってるな<br><%me>。<br>ずいぶんこなれてきた感じか？"""
un_010080_0020#1,"""とはいえ、あんまり無茶はするなよ。<br>お前さんみたいなのは、ある日いきなり<br>無茶苦茶なことやったりするからな。"""
un_010080_0030#1,"""わきまえろって話じゃないぞ？<br>出来ると思ったことは愚直にやれ。<br>ただ、退く勇気も必要ってことだ。"""
un_010080_0040#1,"""足手まといが側に居れば<br>必然的に無理はしなくなるんだけどな。"""
un_010080_0050#1,"""俺で言うところのエコーがそれだよ。<br>あいつは、ある意味オレの枷だ。<br>無理をさせないための、縛りさ。"""
un_010080_0060#1,"""そのわりに、枷のほうが勝手に<br>あっちらこっちら行って<br>振り回されてばっかりだけどな。"""
un_010080_0070#1,"""それじゃあな。"""
