name01#0,"""Cabracan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci5 4 /toge อะ อะไรร่วงลงมาก็ไม่รู้ !<br>นั่นมันอะไรเนี่ย !?<br>นี่นาย ถ้ารู้ก็รีบบอกเร็วสิ !"""
skit02#0,"""/toge นึกว่าชั้นจะรู้เรอะ !<br>งานสำรวจว่ามันหน้าที่ของเธอไม่ใช่รึไง<br>ไปดูเองเด้ !"""
skit01#1,"""/ci5 4 /toge な、なんか降ってきた！？<br>何これ！\u3000ちょっとあんた<br>説明しなさいよ！"""
skit02#1,"""/toge そ、そんなんオレが知るか！<br>そういうの調査するのが<br>あんたらの仕事やろ！"""
skit01#2,"""/toge อะ อะไรร่วงลงมาก็ไม่รู้ !<br>นั่นมันอะไรเนี่ย !?<br>นี่นาย ถ้ารู้ก็รีบบอกเร็วสิ !"""
skit02#2,"""/toge นึกว่าชั้นจะรู้เรอะ !<br>งานสำรวจว่ามันหน้าที่ของเธอไม่ใช่รึไง<br>ไปดูเองเด้ !"""
skit01#3,"""/toge な、なんか降ってきた！？<br>何これ！\u3000ちょっとあんた<br>説明しなさいよ！"""
skit02#3,"""/toge そ、そんなんオレが知るか！<br>そういうの調査するのが<br>あんたらの仕事やろ！"""
