un_044030_0010#0,"""あれ、<%me>。<br>一人でどうしたの？"""
un_044030_0020#0,"""あ、わかった！<br>あたしに会いに来てくれたんでしょ？<br>いやー、大人気アイドルは辛いなー！"""
un_044030_0030#0,"""１．その通り"""
un_044030_0040#0,"""２．たまたまだ"""
un_044030_0050#0,"""……そう平然と言われると<br>投げやりな感じがして<br>ちょっと傷つくんだけど。"""
un_044030_0060#0,"""もう、そういうときは冗談でも<br>「なんでわかった」とか言って<br>ドギマギしてくれないかなあ。"""
un_044030_0070#0,"""……そうだ！<br>こっちの姿だったら、少しはビックリとか<br>してくれるのかなっと！"""
un_044030_0080#0,"""……どうです。<br>少しは驚いてくれましたか？"""
un_044030_0090#0,"""こちらの姿を披露するのは久々です。<br>……最近は、お役御免という形でしたから。"""
un_044030_0100#0,"""三英雄カスラの差し金で、情報部の次席に<br>据えられてはしまいましたが、それも肩書きだけ。<br>やることは事務処理と承認処理ばかり。"""
un_044030_0110#0,"""……正直な話をしてしまうと<br>あなたが戻ってきたとき、怖かったんです。"""
un_044030_0120#0,"""もしかしたら、マイの副作用によって<br>わたしの存在を忘れられている<br>かもしれない、って……"""
un_044030_0130#0,"""でも、大丈夫でした。<br>あなたも、みんなも、わたしのことを<br>ずっと忘れずにいてくれた。"""
un_044030_0140#0,"""これで……もうわたしが<br>無理に戦う必要もありません。"""
un_044030_0150#0,"""あなたが、戻ってきてくれましたしね。"""
un_044030_0160#0,"""そしてなによりも……"""
un_044030_0170#0,"""あたしはやっぱり、戦うのよりも<br>みんなの前で歌って踊って、笑顔を作る。<br>それが一番好きだからさ。"""
un_044030_0180#0,"""みんなのアイドル、クーナは永久に不滅だよ！<br>だから<%me><br>これからも応援よろしくね！"""
