linewindow#0,"""Sub-Palette"""
text00#0,"""Sub-Palette"""
text01#0,"""ฉันจะอธิบายเรื่อง Sub-Palette"""
text02#0,"""ท่านสามารถเพิ่มไอเทม สกิล และ Photon Magic ลงใน Sub-Palette ได้<br><br>เลื่อนเคอร์เซอร์ไปทางซ้าย: <%SubPaletteLeft><br>เลื่อนเคอร์เซอร์ไปทางขวา: <%SubPaletteRight>"""
text03#0,"""ใช้ <%SubPalette> เพื่อเลือก Palette ที่ใช้ไอเทมหรือความสามารถที่ตำแหน่งเคอร์เซอร์ปัจจุบัน<br><br>ท่านสามารถสลับ Sub-Palette ได้<br>ใช้ <%PaletteReverse> หรือ <%PaletteForce> เพื่อแสดง Weapon Palette<br>จากนั้นกด <%SubPaletteLeft> หรือ <%SubPaletteRight> เพื่อสลับ Sub-Palette ที่กำลังใช้"""
text04#0,"""ท่านสามารถสลับ/เพิ่ม ได้หลาย Sub-Palette<br><br>ท่านสามารถเพิ่มไอคอนเดียวกันได้หลายครั้งรวมถึงย้ายและลบไอคอน"""
text101#0,"""เอาล่ะ ไม่ยากเลยใช่ไหม!<br>เป็นระบบที่เจ๋งมากเลยนะเนี้ย"""
text102#0,"""เราสามารถสู้ได้อย่างมีประสิทธิภาพโดยการ<br>สลับอาวุธให้เขากับศัตรูและสถานการณ์"""
11_voice_NPC_5003_100#0,"""ยังไงก็ตาม การฝึกซ้อมแค่นี้คงพอแล้ว<br>ขอบคุณนะ คู่หู โชคดีจริงๆ ที่เราได้มาด้วยกัน"""
linewindow#1,"""<br>『サブパレット』について<br>"""
text00#1,"""『サブパレット』について"""
text01#1,"""サブパレットについて、説明します。"""
text02#1,"""サブパレットは、アイテムとスキル、テクニックの設定を<br>組み合わせて登録し、即座に使用できます。<br><br>カーソル左へ：<%SubPaletteLeft><br>カーソル右へ：<%SubPaletteRight>"""
text03#1,"""使用：<%SubPalette>\u3000でパレットを選ぶことで<br>現在カーソル位置に登録されているものを<br>使用することができます。<br><br>使用するサブパレットを切り替えることもできます。<br><%PaletteReverse>か<%PaletteForce> で武器パレットを表示した後<br><%SubPaletteLeft>か<%SubPaletteRight>で使用するサブパレットを<br>切り替えられます。"""
text04#1,"""サブパレットは複数のブックを切り替えて登録可能です。<br><br>同じアイコンを登録することや入れ替え、削除もできます。"""
text101#1,"""……よっ、と。<br>よし、おれもできてるな！<br>ふぅ、やっぱり便利な技術だぜ、これ。"""
text102#1,"""相手や場所によって<br>武器を切り替えていけば<br>効率よく戦えるもんな。"""
11_voice_NPC_5003_100#1,"""ともかく、これで復習は終わりっと。<br>ありがとな、相棒。<br>わざわざ付き合ってくれてよ。"""
