st_053080_0010#0,"""昆特國軍隊的狀況啊<br>沒有問題，正在向現體制轉變中。"""
st_053080_0020#0,"""有一部分人離開了軍隊<br>好像也有部分人進入了傭兵團或者<br>盜賊團裏，但是數量很少。"""
st_053080_0030#0,"""但是，國內還殘留着魔神城。<br>雖然召喚者都已經殞命了<br>但是魔神城卻殘留了下來。"""
st_053080_0040#0,"""放着不管也不會消失的兵器。<br>必須繼續破壞他們。"""
st_053080_0050#0,"""……給守護輝士<br>這麼大的負擔真是不好意思<br>但是拜託了。"""
st_053080_0060#0,"""１．交給我吧"""
st_053080_0070#0,"""２．一個人的話有點兒棘手呢"""
st_053080_0080#0,"""我要是可以操控破界塔的話<br>就可以進行協助了……"""
st_053080_0090#0,"""……確實如您所說。"""
st_053080_0100#0,"""正在尋找可以操控破界塔的人<br>但是目前還沒找到。<br>嘛，這也是當然的吧。"""
st_053080_0110#0,"""要摧毀使用徒花召喚的魔神城的話，<br>必須要準備和那個徒花同等的力量才行。"""
st_053080_0120#0,"""不使用徒花就可以操控破界塔<br>也就是說守護輝士殿下的力量已經是<br>和徒花同等或以上的力量了。"""
st_053080_0130#0,"""……嗯。<br>總覺得不是很恰當的說法呢。"""
st_053080_0140#0,"""沒有其他意思哦。只是陳述事實。<br>不恰當的說，<br>是有點兒內疚什麼的事呢？"""
st_053080_0150#0,"""啊啊，要說的話就是……<br>你啊，也稍微感謝一下<%me>桑<br>怎麼樣？"""
st_053080_0160#0,"""沒懷疑你們的來歷<br>正打算好好感謝你們……<br>還滿意麼，妖精君？"""
st_053080_0170#0,"""夠了！"""
st_053080_0180#0,"""此外，關於魯茲的從者<br>對他們的調查正在進行<br>確認他們的意識沒有問題。"""
st_053080_0190#0,"""倒不如說，更多的是<br>歡迎哈莉艾特繼位的人的感覺。"""
st_053080_0200#0,"""叔父大人用自己的規矩來評判事物<br>對此也有很多不滿<br>本來就有反對的聲音……"""
st_053080_0210#0,"""總之，意思就是哈莉艾特的革命<br>被大家接受了，對吧？"""
st_053080_0220#0,"""不對，不是那樣的吧。<br>結局其實是王位的爭奪這樣的形式<br>他們只是做出了服從勝者這樣的判斷而已吧。"""
st_053080_0230#0,"""昆特也不是很團結的。<br>魯茲以外，也有使用徒花<br>獲取財富的人。"""
st_053080_0240#0,"""那樣的人雖然口頭上說跟我們的思想同步了<br>但是其實內心深處還是虎視眈眈<br>考慮着怎麼顛覆國家的吧。"""
st_053080_0250#0,"""正因如此，我們才絕不能<br>讓他們有機可乘。"""
st_053080_0260#0,"""報告辛苦了。<br>以後也拜託了。"""
