name01#0,"""Echo"""
name01#1,"""エコー"""
text01#0,"""เดี๋ยวนะ เสร็จแล้วเหรอ? เรา?<br>ไม่น่าเชื่อ เราทำได้"""
text02#0,"""ฟิ้วววว... พูดตามตรง ขาข้าสั่นไปหมด<br>ค่อยสบายใจขึ้นหน่อย"""
text03#0,"""ข้าคิดว่ามันช่วยไม่ได้ ปกติข้าจะมากับ Zeno<br>และเขามักจะทำงานหนักที่..."""
text04#0,"""แต่การได้มองดูท่าน ทำให้ข้ารู้สึกว่าไม่จำเป็นต้อง<br>พึ่ง Zeno ไปหมดทุกเรื่อง"""
11_voice_NPC_5002_102#0,"""อึ่ก...ขอโทษที่บ่นมากไป<br>ไปกันเถอะ"""
text01#1,"""こ、これで任務は完了、かな？<br>なんとかなったんだよね？"""
text02#1,"""……ふぅ、よかったぁ。<br>正直な話、緊張で震えてる。<br>ようやくほっとした感じよ。"""
text03#1,"""……しょうがないでしょ。<br>あたし、いつもゼノと一緒で<br>ゼノがなんとかしてくれてたから……"""
text04#1,"""甘えすぎるのも良くないって<br>最近になって……ううん、きみを<br>見てて、思いはじめて、さ。"""
11_voice_NPC_5002_102#1,"""って、そうじゃない！<br>なんでそんなこと話してる、あたし！<br>いいから帰るわよ、ほら！"""
