un_012470_0010#0,"""あ……<%me>"""
un_012470_0020#0,"""……ちょうどいいですね。<br>貴方も聞いていただけますか。"""
un_012470_0030#0,"""ご報告したいのは<br>ゼノさんの行方について、です。"""
un_012470_0040#0,"""かのダークファルスと後退戦闘を<br>続けていた私たちは、次第に<br>追い詰められていきました。"""
un_012470_0050#0,"""そこで彼は賭けに出たのです。<br>私と別れ、ダークファルスを<br>引きつけるように奥地へ……"""
un_012470_0060#0,"""その後の消息はつかめていません。<br>必死で捜索していますが<br>痕跡もほとんど……"""
un_012470_0070#0,"""そう……ですか……"""
un_012470_0080#0,"""【巨躯】と名乗るダークファルスは<br>明らかに彼を狙っていました。<br>彼はそれを利用したのでしょう。"""
un_012470_0090#0,"""どうしてあそこまで彼に対し<br>固執していたのか、理由は<br>わかりかねますが……"""
un_012470_0100#0,"""……理由は、わかる。<br>もとの身体がゲッテムハルトだから<br>ゼノを執拗に狙ってたのよ。"""
un_012470_0110#0,"""ゼノもそれをわかってたから<br>自分が囮になるような真似を……"""
un_012470_0120#0,"""……申し訳ありません。<br>私がついていながら、このような<br>事態になってしまうとは……"""
un_012470_0130#0,"""いいんです、ゼノなら<br>きっとそうするってわかってました。"""
un_012470_0140#0,"""それに、まだ帰ってきてないだけで<br>そのうちひょっこり帰ってきますから<br>大丈夫……大丈夫ですよ。"""
un_012470_0150#0,"""……はい、そうですね。<br>私も、そう信じています。"""
un_012470_0160#0,"""すみません。<br>私はまだ方々への連絡がありますので<br>これで失礼させていただきます。"""
un_012470_0170#0,"""……ん？\u3000どうしたの？<br>あたしの顔になにかついてる？"""
un_012470_0180#0,"""大丈夫、あたしは大丈夫だよ。<br>待たされるのには、慣れてるしね。"""
un_012470_0190#0,"""それよりも、ゼノが留守の間は<br>あたしがそのぶんきっちりしないと！<br>もちろん、きみも協力してね！"""
un_012470_0200#0,"""……よーし、がんばっちゃうぞ！"""
un_012470_0210#0,"""A.P.238/4/3"""
un_012470_0220#0,"""A.P.238/4/3"""
