IncidentName#0,"""หลบหลีก Gehl Bulff!"""
TrialBeginMsg#0,"""หนีจาก Gehl Bulff!<br>หากหลบไม่พ้น $(0) ครั้งภารกิจจะล้มเหลว"""
TrialAbstract#0,"""หลบการโจมตีของ Gehl Bulff ให้ได้!"""
TrialOutbreak#0,"""$(0) ถูกโจมตีจาก Gehl Bulff!"""
IncidentName#1,"""ゲル・ブルフを凌ぎきれ！"""
TrialBeginMsg#1,"""ゲル・ブルフから逃げろ！！<br>$(0)回以上襲撃されたら失敗。"""
TrialAbstract#1,"""ゲル・ブルフの襲来を凌ぎ<br>生還せよ！"""
TrialOutbreak#1,"""$(0)がゲル・ブルフに襲撃された！"""
NpcComOnBegin#0,"""ฉุกเฉิน! ตรวจพบปฏิกริยาของ Gehl Bulff!<br>ดึงความสนใจแล้วหลบการโจมตีของพวกมันให้ได้"""
NpcComOnBeginAtRareCase#0,"""ฟังให้ดี เราตรวจพบ Gehl Bulff  จำนวนมาก<br>ดึงความสนใจแล้วหลบการโจมตีของพวกมันให้ได้"""
NpcComOnSuccess#0,"""/face2 ท่านหลบหลีกการโจมตีของ Gehl Bulff ได้เยี่ยมมาก<br>เป็นภาพที่สุดยอดจริงๆ!"""
NpcComOnFailure#0,"""/face4 Gehl Bulff สร้างความเสียหายมากมาย!<br>ความเสียหายที่เกิดขึ้นมากกว่าที่ประเมินไว้เสียอีก<br>แย่จริง..."""
NpcComOnTarget#0,"""$(0)! หนีเร็วเข้า!<br>ท่านตกเป็นเป้าหมายของมันแล้ว!"""
NpcComOnTime1#0,"""การทำงานของ Gehl Bulff เกือบถึงขีดจำกัดแล้ว!<br>อีกนิดเดียว! พยายามหลบหลีกต่อไปให้ได้!"""
NpcComOnTime2#0,"""/face2 อย่างนั้นแหละ! อีกนิดเดียวจะถึงขีดจำกัดของ Gehl Bulff แล้ว!<br>อดทนอีกนิดนึงนะ!"""
NpcComOnRepop#0,"""Gehl Bulff เทเลพอตมามากขึ้นแล้ว!<br>ทุกคน พยายามอดทนเข้าไว้!"""
NpcComOnBegin#1,"""緊急連絡です！<br>ゲル・ブルフの出現を確認しました！<br>できる限り引きつけて凌いでください。"""
NpcComOnBeginAtRareCase#1,"""落ち着いて聞いてください。<br>ゲル・ブルフの発生が確認されました。<br>できる限り引きつけて凌いでください。"""
NpcComOnSuccess#1,"""/face2 ゲル・ブルフを凌ぎきるなんてすごい。<br>……あっ、いえ、見事です。"""
NpcComOnFailure#1,"""/face4 ゲル・ブルフの影響による被害甚大！<br>被害許容範囲を超えました……。<br>残念です。"""
NpcComOnTarget#1,"""$(0)！\u3000逃げてください！<br>貴方がターゲットにされています！"""
NpcComOnTime1#1,"""ゲル・ブルフの起動時間には<br>限界があります！\u3000あと少しです！<br>それまで各員凌ぎきってください！"""
NpcComOnTime2#1,"""/face2 その調子です！間もなく<br>ゲル・ブルフの活動限界です！<br>あと少し、凌いでください！"""
NpcComOnRepop#1,"""ゲル・ブルフの再転送を確認！<br>各員、周囲への警戒を強めてください。"""
