TrialName_1Enemy#0,"""奇侵の$(0)討伐"""
TrialBeginMsg_1Enemy#0,"""出現した$(0)を倒せ！"""
TrialAbstract_1Enemy#0,"""奇侵の$(0)を倒す"""
Growup_EnemyBuff_1#0,"""/atime5 2つ名「奇侵」が付与されているエネミーには以下の効果が付与されています<br>$(0)"""
Growup_EnemyBuff_2#0,"""/atime5 2つ名「奇侵」が付与されているエネミーには以下の効果が付与されています<br>$(0)<br>$(1)"""
Growup_EnemyBuff_3#0,"""/atime5 2つ名「奇侵」が付与されているエネミーには以下の効果が付与されています<br>$(0)<br>$(1)<br>$(2)"""
Growup_EnemyBuff_4#0,"""/atime5 2つ名「奇侵」が付与されているエネミーには以下の効果が付与されています<br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
Growup_EnemyBuff_5#0,"""/atime5 2つ名「奇侵」が付与されているエネミーには以下の効果が付与されています<br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
SuccessByLifePoint0#0,"""/atime5 トライアル終了<br>全LPを消失！"""
SuccessByTimeOver#0,"""/atime5 トライアル終了<br>タイムオーバー！"""
SuccessByAnnihilation#0,"""\\ボスエネミーを撃破したためトライアル終了"""
NpcComOnForetaste#0,"""＊＊予兆"""
NpcComOnSuccess#0,"""＊＊成功"""
NpcComOnFailure#0,"""＊＊失敗"""
