name_7236#0,"""ティム"""
ssn_015150_0001#0,"""やあ、キミは“星渡り”みたいだね。<br>なかなか腕もよさそうだ。"""
ssn_015150_0002#0,"""ときに、キミは仲間と上手くやっているかい？<br>アークスとしてやってくには、チームワークが肝心だよ。"""
ssn_015150_0003#0,"""まあ、そのうちまた、詳しく話そう。"""
ssn_015150_0101#0,"""やあ、よく来たね。<br>ボクはチーム活動支援員のティム。"""
ssn_015150_0102#0,"""キミは、“チーム”に入っているかな？"""
ssn_015150_0103#0,"""チーム……それは、さまざまな志をもった<br>アークスが協力し合う集まりのことだね。"""
ssn_015150_0104#0,"""メンバーが力を合わせれば、チームはどんどん高みへいける。<br>そのために、私が考えたカリキュラムがあるんだ。"""
ssn_015150_0105#0,"""やあ、よく来たね。"""
ssn_015150_0106#0,"""メンバーが力を合わせれば、チームはどんどん高みへいける。<br>そのために、私が考えたカリキュラムがあるんだ。"""
ssn_015150_0107#0,"""どうだい？\u3000やってみるかい？"""
ssn_015150_0201#0,"""やあ、よく来たね。"""
ssn_015150_0202#0,"""チームを結成……もしくは、<br>どこかのチームに入れたかな？"""
ssn_015150_0203#0,"""メンバーが力を合わせれば、チームはどんどん高みへいける。<br>そのために、私が考えたカリキュラムがあるんだ。"""
ssn_015150_0204#0,"""どうだい？\u3000やってみるかい？"""
ssn_015150_0301#0,"""……おや？<br>まだ、どのチームにも入っていないようだ……ね。"""
ssn_015150_0302#0,"""それだと、私のカリキュラムを受けても、<br>あまり意味が……。"""
ssn_015150_0303#0,"""とりあえず、チームに入ったらまたおいで。"""
ssn_015150_0304#0,"""所属するには、自分が旗振り役になって、メンバーを募る。<br>もしくは、他のアークスのチームに入れてもらう。どちらかだね。"""
ssn_015150_0305#0,"""待っているよ。"""
ssn_015150_0401#0,"""やあ、どうだい？<br>チームの活動は順調かい？"""
ssn_015150_0402#0,"""それでは、カリキュラムに取り組んでおくれ。"""
npc_menu_0001#0,"""チームタスクを受注する"""
npc_menu_0002#0,"""チームバッヂと交換する"""
npc_menu_0003#0,"""メニューを閉じる"""
npc_menu_0004#0,"""\""チーム\""について"""
npc_menu_0005#0,"""\""チームタスク\""について"""
npc_menu_0006#0,"""チームタスクレコードを確認する"""
