name01#0,"""シエラ"""
text01#0,"""次は、ファントムのアサルトライフル<br><red>「ファントムライフル」<c>の<br>訓練に移ります！"""
text02#0,"""アサルトライフルのファントムシフトは<br><red>「ファントムビット」が展開され<br>自動攻撃<c>してくれます！"""
text03#0,"""それでは、<red>ファントムビットで<br>エネミーを攻撃<c>してみましょう！"""
text101#0,"""課題６：<yellow>アサルトライフルの武器アクションをエネミーに当てる"""
train_title#0,"""課題６：<yellow>アサルトライフルの武器アクションをエネミーに当てる"""
tut_title#0,"""ライフルの武器アクションについて"""
text100#0,"""・<%PhotonArts>でアサルトライフルの武器アクションを<br>\u3000エネミーに当てる"""
text100_3b#0,"""・<%MainPaletteC>でアサルトライフルの武器アクションを<br>\u3000エネミーに当てる"""
tut_win_title#0,"""『ファントムライフルの武器アクション』について"""
tut_win_text100#0,"""「ファントムライフル」は<br>武器アクションで「ファントムビット」を放ち、<br>遠距離から射撃攻撃を行えます。<br><br>また、武器アクションをチャージすることにより、<br>強力な貫通ショットを放つことができます。"""
