st_057060_0010#0,"""人間では……ない？"""
st_057060_0020#0,"""貴方は……ヴェルン皇帝の弟<br>エルミルではないのですか！？<br>それに貴方は、死んだはず！"""
st_057060_0030#0,"""……へぇ、博識だねえ。<br>流石は情報に強いイス＝アルス。<br>僕達のことも筒抜けか。"""
st_057060_0040#0,"""それでも、ここまでの事は<br>知らなかっただろう？"""
st_057060_0050#0,"""くっ！"""
st_057060_0060#0,"""クラリッサぁっ！"""
st_057060_0070#0,"""フロー！"""
st_057060_0080#0,"""くっ、邪魔だッ！"""
st_057060_0090#0,"""イス＝アルス筆頭、この国の象徴存在。<br>君は、国を好きにする権利があるのサ。"""
st_057060_0100#0,"""もっと遊びたかったんだろう？<br>もっとやりたいことがあったんだろう？<br>なら、それを思うがままに、するといい。"""
st_057060_0110#0,"""君には、それだけの力がある。<br>使い方も、すでに君は知っているはずだ。"""
st_057060_0120#0,"""力……？<br>使い、方……？"""
st_057060_0130#0,"""そう。<br>君の中には<br>その記憶が、あるはずだ。"""
st_057060_0140#0,"""それを、解き放ってあげよう。"""
st_057060_0150#0,"""フロー！\u3000フローっ！"""
st_057060_0160#0,"""その後、フローはまるで粘土細工で<br>玩具を増やすかの如く、魔神城や<br>魔物を生み出し、今に至ります。"""
st_057060_0170#0,"""……逃げることしか出来ませんでした。<br>私に向けられたあの子の表情を見て<br>逃げることしか……"""
st_057060_0180#0,"""クラリッサさん……"""
st_057060_0190#0,"""フローさんをおかしくしたのは<br>ベルン皇帝弟のエルミル……"""
st_057060_0200#0,"""彼は、エピックで<br>マルさんにやられたはずなのに……"""
st_057060_0210#0,"""生き延びていた？"""
st_057060_0220#0,"""偽物？"""
st_057060_0230#0,"""……わかりません。<br>生き延びていたのか、名を騙っているのか<br>情報が少なすぎて、なんとも。"""
st_057060_0240#0,"""クラリッサさん、イス＝アルスの<br>国内はどのような感じなのですか？"""
st_057060_0250#0,"""……私にもわかりません。<br>隠し通路から逃げるのがやっとで。"""
st_057060_0260#0,"""……ただ、あの魔物達に飲み込まれた<br>イス＝アルス首都は、全滅か<br>ほぼそれに近い状態でしょう。"""
st_057060_0270#0,"""イス＝アルスの魔神城も魔物種も<br>全てフローが元となって<br>今も増殖し続けています。"""
st_057060_0280#0,"""このまま放置しておけば<br>国の全てが埋め尽くされるでしょう。<br>遊び相手を求める、魔物の群れに。"""
st_057060_0290#0,"""それを止めるためには……<br>大元であるフローを止めるしかない。"""
st_057060_0300#0,"""クエントの守護輝士。<br>……どうか、その力を<br>貸してもらえないでしょうか。"""
st_057060_0310#0,"""ヴェルンも、エピックも救った<br>貴方の御力を、今一度……<br>どうか、どうか……"""
st_057060_0320#0,"""……フローを、救うために。"""
st_057060_0330#0,"""もちろんだ"""
st_057060_0340#0,"""……救えるんだろうか"""
st_057060_0350#0,"""……あの状況をなんとかしなくちゃ<br>いけないのは間違いありません。<br>私も協力に異議はありません。"""
st_057060_0360#0,"""ですけど……"""
st_057060_0370#0,"""……わかりません。<br>それが可能なのか、どうかすら。"""
st_057060_0380#0,"""……救うというのは<br>命のことではありません。<br>あの子の魂を、です。"""
st_057060_0390#0,"""国のために身を捧げたあの子を<br>……国滅の魔にするわけには。"""
st_057060_0400#0,"""……どのように、止めますか。"""
st_057060_0410#0,"""交戦されたのならわかるように<br>倒しても倒しても、増殖の速度が<br>それを上回り復活します。"""
st_057060_0420#0,"""増殖の中心を一気に叩かねば<br>この災厄は止まりません。"""
st_057060_0430#0,"""つまり、心臓部への強襲ですか。"""
st_057060_0440#0,"""はい。<br>そしてここには、その心臓部へと<br>繋がる隠し通路があります。"""
st_057060_0450#0,"""真正面からぶつかり合うよりは<br>はるかに勝算があるはずです。"""
st_057060_0460#0,"""それでも、尋常ならざる数が<br>待ち構えているとは思いますが……"""
st_057060_0470#0,"""……フローの遊び相手を求める心が<br>そのまま行動原理となっているのなら<br>手はあります。"""
st_057060_0480#0,"""クエント軍をイス＝アルスへ進攻させ<br>国境線で戦線を広げ、敵を引きつける。<br>押して引いての持久戦を仕掛ける。"""
st_057060_0490#0,"""その間に、守護輝士が強襲。<br>心臓部を叩き、増殖を止める。<br>……いかがでしょうか。"""
st_057060_0500#0,"""わかった"""
st_057060_0510#0,"""……危険だ"""
st_057060_0520#0,"""……では、今回は離ればなれですね。<br>ご無事をお祈りしつつ<br>私は、私の責務を全力で頑張ります。"""
st_057060_0530#0,"""それはお互いさまですよ。<br>一緒に行く、って言わないだけ<br>私の成長と思ってください。"""
st_057060_0540#0,"""クエント王ハリエット……<br>守護輝士……心より感謝します。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
