name_7446#0,"""ソウヤ"""
ssn_015451_0010#0,"""ありがたい。"""
ssn_015451_0020#0,"""今回、調査してもらいたいのは、<br>“群鉱石”と呼ばれるものだ。"""
ssn_015451_0030#0,"""ドライゼンプラントを抜けた先にある<br>フェルーサ岩稜で目撃情報がある。"""
ssn_015451_0040#0,"""こいつは、高熱で融解した無数の鉱石が、<br>交じりあって凝固したものらしくてな。"""
ssn_015451_0050#0,"""それぞれの性質が、変わっていなければ、<br>いっぺんに多量の鉱石が手に入るとふんでいる。"""
ssn_015451_0060#0,"""……ただ、この群鉱石、<br>かなり硬いらしくてな。"""
ssn_015451_0070#0,"""生半可な攻撃では、<br>傷ひとつ、つかないらしい。"""
ssn_015451_0080#0,"""通常武器が通用しないとなると、<br>どうやって壊せばいいのか……。"""
ssn_015451_0090#0,"""とにかく、フェルーサ岩稜に行ったときに、<br>探してみてほしい。"""
ssn_015451_0100#0,"""頼んだぞ。"""
