name_7664#0,"""Hounyan"""
ssn_011171_0010#0,"""Hehehe, very well."""
ssn_011171_0020#0,"""...Wait. Your Class isn't Techter, is it?"""
ssn_011171_0030#0,"""If you want to learn how to fight, please go to the Class Counter and change your Class to Techter."""
ssn_011171_0040#0,"""Be sure to also learn some Techter Class Skills."""
ssn_011171_0050#0,"""Well, perhaps I should explain it a little first."""
ssn_011171_0060#0,"""Techter is a Class that excels in supporting its allies."""
ssn_011171_0070#0,"""Its Class Skills give you ways to increase your allies' offensive and defensive power."""
ssn_011171_0080#0,"""In essence, while no slouch in combat itself, it makes everyone around it more effective as well."""
ssn_011171_0090#0,"""As a beginner...<br>You may wish to get used to using \""Shifta-Deband\"" first."""
ssn_011171_0100#0,"""I will assign you a training task. Use it to try out what I've taught you."""
