msc_041210_0010#0,"""あれが、アブダクションホール……。"""
msc_041210_0020#0,"""本当に、周囲の全てを取り込んでいるのね。<br>異様な光景だわ。"""
msc_041210_0030#0,"""……あれを見てると、胸がざわざわするの。"""
msc_041210_0040#0,"""理由はわからない。<br>……でも、やっぱり私、あれを知ってる気がする。"""
msc_041210_0050#0,"""指令室に現れた、あいつ。私のことを、“迷子”って呼んでた。<br>まるで、私のことを、前から知ってるみたいに。"""
msc_041210_0060#0,"""私って、何なんだろう。<br>知りたいって、ずっと思ってたのに……今は……少し怖い。"""
msc_041210_0070#0,"""ルーシア……。"""
msc_041210_0080#0,"""私はこれまで、記憶を取り戻すことだけが、<br>自分にとって一番大事だと思ってた。"""
msc_041210_0090#0,"""でも、あなたたちと一緒に各地を巡って、<br>人と話して、街の空気を感じて……それだけじゃないんだって思った。"""
msc_041210_0100#0,"""もし、あの穴がもっと大きくなって、ハルファを飲み込んでしまったら……。"""
msc_041210_0110#0,"""ナーデレフたちの暮らす街も、メリの家族が帰る場所も、<br>グレンたちがかけてくれた言葉も、きっと、全部消えてしまう。"""
msc_041210_0120#0,"""……そんなの、私は嫌だ。"""
msc_041210_0130#0,"""一緒に守ろう。"""
msc_041210_0140#0,"""ありがとう。"""
msc_041210_0150#0,"""一緒に……そうね。"""
msc_041210_0160#0,"""な、何よ、礼なんて言われなくっても……！<br>……ううん、そうじゃない。私が言いたいのは……。"""
msc_041210_0170#0,"""まだ、自分でもよくわからない。<br>何が大事なのか、私が何を守りたいのか。"""
msc_041210_0180#0,"""それでも、私は……あなたたちに、力を貸したい。"""
msc_041210_0190#0,"""ルーシア……それだけで十分だよ、ありがとう。"""
msc_041210_0200#0,"""さあ、行こう！<br>オルタレルムへの入り口は、すぐそこだよ。"""
