TrialName_1Enemy#0,"""$(0)討伐"""
TrialBeginMsg_1Enemy#0,"""出現した$(0)を倒せ！"""
TrialAbstract_1Enemy#0,"""$(0)を倒す"""
TrialAbstract_1Enemy_SM_PSE#0,"""$(0)を倒す<br><yellow>※サイドミッション達成で<br>\u3000次のPSEバースト時バーストチェンジ発生<c>"""
TrialName_Multi#0,"""エネミー討伐"""
TrialBeginMsg_Multi#0,"""出現したエネミーを倒せ！"""
TrialAbstract_Multi#0,"""エネミーを倒す"""
TrialAbstract_Multi_SM_PSE#0,"""エネミーを倒す<br><yellow>※サイドミッション達成で<br>\u3000次のPSEバースト時バーストチェンジ発生<c>"""
NpcComOnBegin#0,"""……強力なエネミーが、あらたに出現！<br>至急、討伐をお願いします。"""
NpcComOnSuccess#0,"""エネミーの殲滅を確認しました！<br>即応、ありがとうございます。"""
NpcComOnFailure#0,"""エネミーが撤退しました。<br>……ひとまず、脅威は去りましたね。"""
