Title#0,"""T:悲劇を願う破滅の虚影"""
Explanation#0,"""消滅したはずの【仮面】らしき反応が<br>宇宙の亀裂内部に出現した変質空間で<br>確認された。強い怨嗟が残滓となり<br>異様な姿を形作ったと推測される。<br>アークス各員は、至急現地に出撃し<br>全宇宙破壊を目論む【仮面】を阻止せよ。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""ダークファルス・ペルソナを撃破せよ！"""
NpcComMsg1#0,"""これより、作戦を開始します。<br>今回の目的は、変質空間に潜伏中の<br>ダークファルス・ペルソナの撃破です。"""
NpcComMsg2#0,"""対象の狙いは、全宇宙の破壊……<br>今こそ、全アークスの力を結集して<br>絶対に阻止しましょう！"""
Area0S#0,"""【仮面】反応座標付近"""
Area0L#0,"""オラクル宙域\u3000【仮面】反応座標付近"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
