DEPARTURE_FAV4#0,"""วางใจได้เลยค่ะ มาสเตอร์"""
DEPARTURE_FAV3#0,"""ถ้างั้น ฉันไปก่อนนะคะ"""
DEPARTURE_FAV2#0,"""ค่ะ ทราบแล้วค่ะ"""
DEPARTURE_FAV1#0,"""เข้าใจแล้วค่ะ"""
DEPARTURE_FAV0#0,"""ไปล่ะค่ะ"""
DEPARTURE_FAV4#1,"""お任せ下さい、マスター"""
DEPARTURE_FAV3#1,"""では、行って参ります"""
DEPARTURE_FAV2#1,"""はい、了解です"""
DEPARTURE_FAV1#1,"""わかりました"""
DEPARTURE_FAV0#1,"""出撃します"""
DEPARTURE_FAV4#2,"""ฉันจะพยายามเพื่อเธอนะ"""
DEPARTURE_FAV3#2,"""เอาน่า วางใจฉันเถอะ"""
DEPARTURE_FAV2#2,"""เอาล่ะ ไปลุยล่ะนะ"""
DEPARTURE_FAV1#2,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#2,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#3,"""君のために頑張るよ"""
DEPARTURE_FAV3#3,"""まあ、任せておいてよ"""
DEPARTURE_FAV2#3,"""じゃ、頑張ってくるよ"""
DEPARTURE_FAV1#3,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#3,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#4,"""ขะ...เข้าใจแล้วค่ะ <br>ฉันจะพยายามเพื่อคุณค่ะ"""
DEPARTURE_FAV3#4,"""จะ..จะพยายามนะคะ วางใจฉันเถอะค่ะ"""
DEPARTURE_FAV2#4,"""ถ้าอย่างนั้น ไปก่อนนะคะ"""
DEPARTURE_FAV1#4,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#4,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#5,"""わ、わかりました<br>あなたのために、頑張ります"""
DEPARTURE_FAV3#5,"""や、やってみます<br>任せてください"""
DEPARTURE_FAV2#5,"""それでは、行ってきます"""
DEPARTURE_FAV1#5,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#5,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#6,"""ถ้าเพื่อเธอแล้วล่ะก็ <br>จะให้ฉันทุ่มเทพลังแค่ไหนก็ได้"""
DEPARTURE_FAV3#6,"""เอาเถอะน่า วางใจฉันเถอะ"""
DEPARTURE_FAV2#6,"""ถ้างั้นไปล่ะนะ"""
DEPARTURE_FAV1#6,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#6,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#7,"""お前のためなら<br>この力、如何様にでも"""
DEPARTURE_FAV3#7,"""いいだろう、任せておけ"""
DEPARTURE_FAV2#7,"""それでは、出撃する"""
DEPARTURE_FAV1#7,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#7,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#8,"""โอเคโอเค!<br>วางใจฉันเถอะน่า!"""
DEPARTURE_FAV3#8,"""เอาล่ะ จะลุยล่ะนะ!"""
DEPARTURE_FAV2#8,"""รับทราบ!"""
DEPARTURE_FAV1#8,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#8,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#9,"""オッケーオッケー！<br>オレに任せとけって！"""
DEPARTURE_FAV3#9,"""よっしゃ、やってやるぜー！"""
DEPARTURE_FAV2#9,"""りょーかいっ！"""
DEPARTURE_FAV1#9,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#9,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#10,"""วางใจฉันเถอะค่ะ<br>ฉันอยากชวยเป็นกำลังให้คุณ"""
