11_voice_NPC_5020_104#0,"""เมื่อพูดถึงอาวุธของ Fighter<br>Double Blade ก็เป็นสิ่งที่ลืมไม่ได้นะ"""
text02#0,"""มันมีรูปแบบของการโจมตีที่หลากหลาย<br>การหมุนแบบพายุอาจทำให้ถึงตายได้ <br>หากรู้วิธีการใช้งานก็จะทำให้ท่านปลอดภัยจากศัตรู"""
text03#0,"""การปฏิบัติเป็นวิธีการเรียนรู้ที่ดี <br>ซึ่งคนที่มีความพยายามจะทำให้เรียนรู้ได้เร็ว<br>"""
text04#0,"""ที่นี่มีเพียงแค่ Double Blade หนึ่งคู่<br>จะดีไหมที่พวกเรามาฝึกฝนกันการใช้สิ่งนั้นกัน"""
text100#0,"""Double Blade"""
text101#0,"""อธิบายเกี่ยวกับ [Double Blade] <br>Double Blade เป็นอาวุธที่โดดเด่นในเรื่องการโจมตีแบบพิเศษที่มีหลากหลายรูปแบบ"""
text102#0,"""มาตรวจสอบการใช้งาน Photon Move และการใช้งาน Double Blade ขั้นพื้นฐานกันเถอะ<br><br>ท่านสามารถสร้างความเสียหายอย่างรุนแรงในแต่ละครั้งของการโจมตีในละรูปแบบ"""
11_voice_NPC_5020_104#1,"""ファイターの特徴的武装といえば<br>ダブルセイバーも忘れてはならない。"""
text02#1,"""その攻撃のパターンと回数は圧倒的。<br>連撃の円舞はやがて旋風すら生みだす。<br>きちんと使いこなせば、無敵だ。"""
text03#1,"""まあ、基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ダブルセイバーを一つ用意してある。<br>これを使って少し練習してくるといい。"""
text100#1,"""『ダブルセイバー』について"""
text101#1,"""武器「ダブルセイバー」について、説明します。<br><br>ダブルセイバーは最も攻撃回数の多い攻撃特化の打撃武器です。"""
text102#1,"""ダブルセイバー系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>多彩な攻撃バリエーションと攻撃回数の多さで<br>圧倒的なダメージを与えることができます。"""
