Cancel#0,"""ยกเลิกแล้วออก"""
Decide#0,"""ยืนยัน"""
Title#0,"""Salon"""
Cancel#1,"""変更せずに終了"""
Decide#1,"""変更を確定"""
Title#1,"""エステ"""
Message#0,"""ท่านต้องการออกโดยไม่เปลี่ยนแปลงใช่หรือไม่"""
Message#1,"""変更した内容を反映せずに終了します。<br>よろしいですか？"""
PaymentCheckTitle#0,"""ยืนยันการเปลี่ยนแปลง"""
PaymentCheckMessage#0,"""การเปลี่ยนแปลงนี้จำเป็นต้องใช้ <c ff4f3f>Cash (AC)<c><br><br>- หากท่านต้องการยกเลิกการเปลี่ยนแปลง แล้วออกจากการ<br>เปลี่ยนแปลงครั้งนี้ให้เลือก <yellow>ไม่ใช่<c><br><br>- หากท่านต้องการเปลี่ยนแปลงตามที่ได้ตั้งค่าไว้ให้เลือก <yellow>ใช่<c><br><br>คุณต้องการที่จะเปลี่ยนแปลงแล้วออกจากร้าน Salon หรือไม่?"""
ColorCheckMessage#0,"""ยืนยันการเปลี่ยนแปลงและใช้ <yellow>Color Change Pass<c><br><br>- หากท่านต้องการยกเลิกการเปลี่ยนแปลง แล้วออกจากการ<br>เปลี่ยนแปลงครั้งนี้ให้เลือก <yellow>ไม่ใช่<c><br><br>- หากท่านต้องการเปลี่ยนแปลงตามที่ได้ตั้งค่าไว้ให้เลือก <yellow>ใช่<c><br><br>คุณต้องการที่จะเปลี่ยนแปลงแล้วออกจากร้าน Salon หรือไม่?"""
ConsumeCheckTitle#0,"""ยืนยันการใช้ใบผ่าน"""
ConsumeCheckMessage#0,"""<pict Arcscash><c 5fdf00>ใช้ไอเทมที่ซื้อ<c><br>ท่านต้องการยืนยันการเปลี่ยนแปลงและออกจาก <br>Salon โดยใช้ไอเทมที่ท่านซื้อหรือไม่?"""
ConsumeCheckMessage2#0,"""<c 5fdf00>ใช้งานไอเทม<c><br>ท่านต้องการยืนยันการเปลี่ยนแปลงและออกจาก<br>ซาลอนโดยใช้ไอเทมที่ท่านซื้อหรือไม่?<br><br><yellow>*คำเตือนการใช้ Free Salon Ticket จะไม่ได้รับ<br>สิทธิ์แก้ไขใหม่ที่เหมือนกับผลของ Premium Set<c>"""
ItemCheckMessage#0,"""<c 5fdf00>ใช้ไอเทมช่องเก็บของ<c><br>ท่านต้องการยืนยันการเปลี่ยนแปลงและออกจาก Salon <br>โดยใช้ไอเทมช่องเก็บของที่ท่านซื้อหรือไม่?"""
BuyCheckTitle#0,"""ยืนยันการซื้อใบผ่าน"""
BuyCheckMessage#0,"""<pict Arcscash><c ff4f3f>Content Requiring AC<c><br>ต้องใช้ใบผ่านเพื่อใช้งานการเปลี่ยนแปลง<br>แล้วออกจาก Salon ท่านแน่ใจว่าจะใช้ AC <br>เพื่อซื้อใบผ่านและออกจาก Salon?<br>(AC ที่มี: $(0))"""
BuyCheckItem#0,"""$(0) ($(1) AC)"""
PaymentCheckTitle#1,"""退店確認"""
PaymentCheckMessage#1,"""変更内容に、<c ff4f3f>AC消費コンテンツ<c>が含まれています。<br><br>・変更を取り消す場合は、「いいえ」を選択し<br>\u3000「編集内容確認」から変更を取り消してください。<br><br>・変更を適用して退店する場合は、<br>\u3000「はい」を選択すると、確認画面に進みます。<br><br>変更を適用して、退店しますか？"""
ColorCheckMessage#1,"""変更内容に、<yellow>カラーチェンジパス<c>が<br>必要な項目が含まれています。<br><br>・変更を取り消す場合は、「いいえ」を選択し<br>\u3000「編集内容確認」から変更を取り消すか、<br>\u3000「変更せずに終了」を選択してください。<br><br>・変更を適用して退店する場合は、<br>\u3000「はい」を選択すると、確認画面に進みます。<br><br>変更を適用して、退店しますか？"""
ConsumeCheckTitle#1,"""パス使用確認"""
ConsumeCheckMessage#1,"""<pict Arcscash><c 5fdf00>アイテムの使用<c><br>以下のアイテムを使用することで、<br>変更を適用して退店します。よろしいですか？<br><br>※プレミアム状態の場合は、再編集期間として60分間<br>エステ利用パスを消費せずに編集が可能となります。"""
ConsumeCheckMessage2#1,"""<c 5fdf00>アイテムの使用<c><br>以下のアイテムを使用することで、<br>変更を適用して退店します。よろしいですか？<br><br><yellow>※エステ無料パスでは、プレミアムセット期間中の<br>再編集機能が使用できませんので、ご注意ください。<c>"""
ItemCheckMessage#1,"""<c 5fdf00>所持アイテムの使用<c><br>以下の所持アイテムを使用することで、<br>変更を適用して退店します。よろしいですか？"""
BuyCheckTitle#1,"""パス購入確認"""
BuyCheckMessage#1,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>変更を適用して退店するには以下のパスが必要です。<br>ACを消費して購入し、退店しますか？<br>(所持AC：$(0))<br>※プレミアム状態の場合は再編集期間として60分間<br>エステ利用パスを消費せずに編集が可能となります。"""
BuyCheckItem#1,"""$(0)($(1)AC)"""
Title#2,"""Salon"""
Result_0#0,"""ปิดการใช้งาน"""
Result_1_1#0,"""ขอบคุณมากที่มาใช้บริการ salon. คุณจะมีค่าใช้จ่ายในการเปลี่ยนแปลง"""
Result_1_2#0,"""ขอบคุณมากที่มาใช้บริการ salon. ครั้งนี้"""
Result_1_3#0,"""ยืนยันการซื้อและใช้ Pass เรียบร้อย<br>ขอบคุณที่ใช้บริการ<br><br>ภายในระยะเวลา 60 นาที หลังจากมีการใช้ [Salon Pass]<br>คุณสามารถทำการเปลี่ยนแปลงได้จนกว่าจะพอใจ โดยไม่ต้องเสีย Pass เพิ่ม"""
Result_1_4#0,"""เนื่องจากยังอยู่ในช่วงเวลาที่เปิดให้ปรับแต่งได้อีกครั้ง จึงไม่มีค่าใช้จ่ายใดๆ<br>ขอบพระคุณที่ใช้บริการ"""
Result_2#0,"""เกิด Error ขึ้นในการแก้ไขข้อมูล<br><br>Error code [2000]"""
Result_3#0,"""ท่านมี AC ไม่เพียงพอ <br>โปรดตรวจสอบ AC ของท่าน<br>Error code [2001]"""
Result_4#0,"""มี Error เกิดขึ้น<br>โปรดรอสักครู่และลองใหม่อีกครั้ง"""
Result_5#0,"""มี error เกิดขึ้นในการการเปลี่ยนแปลงข้อมูล inventory<br>Error code [2002]"""
Result_6#0,"""ท่านไม่มี Item <br>โปรดตรวจสอบ inventory ของท่าน"""
Result_7#0,"""การซื้อล้มเหลว ท่านมี AC ไม่เพียงพอ<br>โปรดตรวจสอบ AC ของท่าน"""
Result_8#0,"""การซื้อล้มเหลว<br>โปรดรอสักครู่และลองใหม่อีกครั้ง<br>Error code [2003]"""
Title_SPCreate#0,"""ปรับแต่ง Support Partner"""
Title_SPEdit#0,"""Support Partner Salon"""
Result_SPCreate_ParamError#0,"""ข้อมูลการสร้างไม่ถูกต้อง"""
Result_SPCreate_MaxError#0,"""ไม่สามารถเพิ่ม Support Partner ได้มากกว่านี้"""
Result_SPCreate_ChargeError#0,"""การสร้างล้มเหลว<br>อาจเพราะจำนวน AC ที่คุณมีไม่เพียงพอ<br>โปรดตรวจสอบอีกครั้ง"""
Result_SPCreate_SystemError#0,"""เกิดความผิดพลาดทางระบบ<br>โปรดรอสักครู่และลองใหม่อีกครั้ง"""
Result_SPRemake_NoPartner#0,"""ข้อมูลการสร้างไม่ถูกต้อง"""
Result_SPRemake_EquipError#0,"""ที่ว่างใน ช่องเก็บของ ไม่เพียงพอ"""
Result_SPRemake_ChargeError#0,"""การสร้างล้มเหลว<br>อาจเพราะจำนวน AC ที่คุณมีไม่เพียงพอ<br>โปรดตรวจสอบอีกครั้ง"""
Result_SPRemake_SystemError#0,"""เกิดความผิดพลาดทางระบบ<br>โปรดรอสักครู่และลองใหม่อีกครั้ง"""
Title#3,"""エステ"""
Result_0#1,"""無効"""
Result_1_1#1,"""パスを購入または使用し、変更を適用しました。<br>ご利用ありがとうございました。"""
Result_1_2#1,"""お会計はありません。<br>ご利用ありがとうございました。"""
Result_1_3#1,"""パスを購入または使用し、変更を適用しました。<br>ご利用ありがとうございました。<br><br>「エステ利用パス」使用後、60分の間は<br>パスを消費せずに再編集が可能となります。"""
Result_1_4#1,"""再編集可能期間のため、お会計はありません。<br>ご利用ありがとうございました。"""
Result_2#1,"""外見の編集情報に問題が発生しました。<br><br>エラーコード[2000]"""
Result_3#1,"""ACが不足しています。<br>再度、ご確認ください。<br><br>エラーコード[2001]"""
Result_4#1,"""システムエラーが発生しました。<br>時間をおいてお試しください。"""
