11_voice_NPC_5061_100#0,"""ハッピーハロウィン！\u3000今年も<br>秋の祝祭がやってきたよ！"""
text01002#0,"""今、イベントでやる予定の<br>パーティーの準備を進めているの！<br>みんな、やる気満々なんだ！"""
text01003#0,"""貴方にも手伝ってもらうからね！<br>今回のパーティーを<br>みんなで成功させよう！"""
text01#0,"""ハロウィンイベントの企画？<br>発案したのはわたしだけど<br>いろんな人が力を貸してくれたよ！"""
text02#0,"""というのも、最近みんな忙しくて<br>なかなか集まって楽しむ機会がないから<br>盛り上げてくれたんだと思うの。"""
11_voice_NPC_5061_100#1,"""せっかくだから、大人から子どもまで<br>みんながワクワクするような<br>イベントにしたいなー！"""
11_voice_NPC_5061_104#0,"""なんでイベントとなると<br>そんなに一生懸命なのかって？<br>うーん、言われてみればそうだね……"""
11_voice_NPC_5061_100#2,"""みんなが喜ぶと、わたしも嬉しいから！<br>楽しんでるみんなの笑顔を見てると<br>準備の疲れが全部吹き飛んじゃうんだ！"""
text03003#0,"""と言いつつ、貴方に頼ってるんだよね。<br>いつもお願いたくさん聞いてくれて<br>すごく助かってるよ！"""
11_voice_NPC_5061_101#0,"""トリック・オア・トリート！<br>お菓子くれなきゃいたずらするぞー！<br>なーんてね。"""
text04002#0,"""ハロウィンって楽しいよね。<br>知らない人にもこうやって話しかけて<br>そこから仲良くなれたりもするし！"""
11_voice_NPC_5061_100#3,"""貴方のおかげで、準備万端！<br>ほんっとーに、ありがとう！"""
text05002#0,"""貴方の頑張りにわたしもしっかり<br>応えられるように、パーティーは<br>絶対に成功させるからね！"""
11_voice_NPC_5061_101#1,"""必ず素敵なパーティーにするよー。<br>貴方にも楽しんでほしいなっ！"""
11_voice_NPC_5061_100#4,"""トリック・オア・トリート！<br>ふふっ、やっぱりこれを言わなきゃね！"""
11_voice_NPC_5061_101#2,"""せっかくのハロウィンだし<br>みんなが大満足してくれるような<br>楽しいイベント、開催しなくっちゃ！"""
text01003#1,"""でも、実は困ってることがあって……<br>今回も貴方の力が、必要なの！<br>だから協力、お願いっ！"""
11_voice_NPC_5061_104#1,"""状況はどんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5061_100#5,"""普段、笑顔を見せない人が<br>イベントを楽しんで笑ってくれると<br>すっごく、嬉しくなるんだー！"""
text03002#0,"""企画したかいがあったなって<br>実感できる瞬間なの。"""
text03003#1,"""そのためにも準備を頑張らないとねっ。<br>協力、お願いね！"""
11_voice_NPC_5061_101#3,"""手を貸してくれてありがとう！<br>貴方が協力してくれるから<br>順調に準備が進んでるよー！"""
text04002#1,"""とっても助かってるの！<br>あ、でもでも無理は禁物だからね！"""
11_voice_NPC_5061_101#4,"""おつかれさまー！<br>貴方が協力してくれたおかげで<br>イベントが無事開催できそうだよ。"""
text05002#1,"""いろんなアクシデントがあったけど……<br>終わりよければすべてよし、だね！"""
text05003#0,"""わたしはもちろん<br>手伝ってくれてたアークスの子たちも<br>みんな、貴方に感謝しかないよー。"""
text05004#0,"""本当に本当にありがとう！<br>後はゆっくり休んでね！"""
