text00#0,"""バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。"""
text01#0,"""『エンブレム争奪戦のルール』について"""
text02#0,"""『エンブレム』について"""
text03#0,"""『武器の入手』について"""
text04#0,"""『バトルエリア』について"""
text99#0,"""この場を離れる"""
text00#1,"""基本的なルールの確認だな。<br>まずはこれを見てくれ。"""
text01#1,"""大まかなルールは以上だ。<br>後は実戦を繰り返して<br>身体に叩き込むといい。"""
text00#2,"""エンブレムについて、だな。<br>まずはこれを見てくれ。"""
text01#2,"""高得点のエンブレムの発生場所は<br>激戦区になりやすい。"""
text02#1,"""先んじてその場を制圧できれば<br>戦いを有利に運べるだろう。<br>覚えておくといい。"""
text00#3,"""武器の入手について、だな。<br>まずはこれを見てくれ。"""
text01#3,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text02#2,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text00#4,"""バトルエリアについて、だな。<br>まずはこれを見てくれ。"""
text01#4,"""バトルエリアにはそれぞれ特色がある。<br>それに合わせた戦い方を身につけねば<br>勝利することは難しいだろう。"""
text02#3,"""まずは経験を積むことだ。<br>納得がいくまで、何度もな。"""
text00#5,"""はい、承りました。<br>チャレンジ中のアドバイスを<br>行わないように致します。"""
text01#5,"""ですが、重要な箇所に関しては<br>今までどおりご案内致しますので<br>ご了承ください。"""
text02#4,"""また、アドバイスが必要になりましたら<br>お気軽に声をおかけください。"""
11_voice_challe_ope_001#0,"""アイテムの受け渡しについてですね。<br>説明が長くなりますので<br>まずはこちらをご覧ください。"""
text01#6,"""要約しますと<c bb0000>自分の所持品を<br>フィールドに置いて、他のプレイヤーに<br>渡すことができる<c>ということです。"""
text02#5,"""チャレンジクエストにおいては<br>武器やユニットを置いて受け渡すことが<br>可能となっています。ご活用ください。"""
