name01#0,"""希爾達"""
name02#0,"""普通攻擊"""
11_voice_navi02_103#0,"""好，看來已經充分熱身了。<br>那麼，接下來進行<br>攻擊方法的說明。"""
11_voice_navi02_104#0,"""好，實際使用武器看看。"""
text00#0,"""關於遊俠的『攻擊方法』"""
text01#0,"""教學<br>說明關於遊俠的『攻擊方法』。<br><br>遊俠是擅長射擊武器的戰鬥類型。<br>開始進行射擊武器「步槍系」的使用訓練。"""
text100#0,"""以<%NormalAttack>進行普通攻擊！"""
text1000#0,"""以<%NormalAttack>進行普通攻擊！"""
text201#0,"""通常攻撃を行え！"""
text202#0,"""通常攻撃を行え！"""
text203#0,"""攻撃：<%NormalAttack>"""
text204#0,"""攻撃：<%NormalAttack>"""
11_voice_navi02_105#0,"""學得很快呢，真是太好了。<br>接下來的課程是<br>3段式連續攻擊。"""
11_voice_navi02_106#0,"""準備好，抓住時機，<br>試著使出3段式攻擊吧。"""
text00#1,"""關於『連續攻擊』"""
text01#1,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text02#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text03#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text04#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text05#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text06#0,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text100#1,"""以<%NormalAttack>使出3段式攻擊！"""
text1000#1,"""以<%NormalAttack>使出3段式攻擊！"""
11_voice_navi02_103#1,"""好，看來已經充分熱身了。<br>那麼，接下來進行<br>攻擊方法的說明。"""
11_voice_navi02_104#1,"""好，實際使用武器看看。"""
text00#2,"""關於遊俠的『攻擊方法』"""
text01#2,"""チュートリアル<br>レンジャーの『攻撃方法』について、説明します。<br><br><c 00ffff>レンジャーは射撃武器を得意とする戦闘タイプです。<c><br>射撃武器「アサルトライフル」を使った訓練を開始します。"""
text02#1,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text03#1,"""教學<br>說明關於『連續攻擊』。<br><br>連按或是按住<%NormalAttack>，<br>即可連續執行3段式攻擊。"""
text100#2,"""以<%NormalAttack>進行普通攻擊！"""
text1000#2,"""以<%NormalAttack>進行普通攻擊！"""
