un_043030_0010#0,"""哎呀？哎呀，哎呀哎呀哎呀？"""
un_043030_0020#0,"""唔……哇啊！？<br>嚇、嚇我一跳！"""
un_043030_0030#0,"""呵呵呵，用不著這麼大驚小怪的嘛。<br>莉莎我可是堂堂正正的ARKS哦？"""
un_043030_0040#0,"""別管是不是ARKS<br>突然有個人站在身後<br>不管是誰都會嚇一跳的吧……"""
un_043030_0050#0,"""順便一提，莉莎我<br>可是會二話不說地開槍的。"""
un_043030_0060#0,"""你這完全不止是嚇人一跳了好吧！"""
un_043030_0070#0,"""呵呵呵……這幼稚的反應看著好新鮮呢。<br>這是你的新朋友嗎？"""
un_043030_0080#0,"""希望你對她友好點"""
un_043030_0090#0,"""你還真是沒變啊"""
un_043030_0100#0,"""哎呀哎呀哎呀？<br>瞧您這話說的，莉莎我自己還覺著<br>我跟任何人都非常友好、非常和睦呢。"""
un_043030_0110#0,"""雖然我倒是不知道，對方是怎麼想的。"""
un_043030_0120#0,"""那是當然啦。別管是過了2年<br>還是過了100年，不管過了多久<br>人都是不會那麼輕易就改變的。"""
un_043030_0130#0,"""話說回來，小姑娘您哪位呀？"""
un_043030_0140#0,"""我是火継。<br>這邊這個小個子是阿有……"""
un_043030_0150#0,"""我問的不是名字啦。<br>您・哪・位・啊？"""
un_043030_0160#0,"""呃……這……"""
un_043030_0170#0,"""……算了，不管您是哪位<br>既然是<%me>的熟人，那問題應該也不大<br>無論您是誰都好。"""
un_043030_0180#0,"""……啊，好、好吧。"""
un_043030_0190#0,"""比起這個，你要不要試一下？要不要試一下？<br>就當是見面禮了，要不要試試和莉莎我對射一下？"""
un_043030_0200#0,"""對射……哈？<br>免了免了，我又沒這種興趣……！"""
un_043030_0210#0,"""……唔，那太可惜了。<br>畢竟射中你的手感，應該會和ARKS很不一樣<br>我還挺想試試看來著呢，太可惜了。"""
un_043030_0220#0,"""你要是改主意了，就請隨時來找我吧。<br>我隨時都可以射一射你的。"""
un_043030_0230#0,"""不過，你就算不來找我，我沒準也會射你呢。<br>呵呵，呵呵呵，呵呵呵呵呵……"""
un_043030_0240#0,"""……雖然這話說出來不太好<br>但ARKS裡的怪人還真多啊。"""
un_043030_0250#0,"""不過，總感覺剛才那個人<br>就像是看透了我們似的……<br>感覺有點恐怖欸……你說呢，阿有？"""
un_043030_0260#0,"""我沒覺得恐怖哦。<br>比起恐怖，她倒給我一種很溫柔的感覺。"""
un_043030_0270#0,"""欸！？<br>她這算……溫柔嗎？"""
