un_012370_0010#0,"""สวัสดี<br>ดูเหมือนทุกคนจะวุ่นวายไปหมด<br>เพราะ Dragorii ที่บ้าคลั่งนั่นซินะ"""
un_012370_0020#0,"""จู่ๆ เกิดเหตุการณ์ใหญ่ๆ แบบนี้<br>เหมือนกับมีแผนการอะไร<br>แอบซ่อนอยู่ข้างหลังแน่นอนเลยนะ"""
un_012370_0030#0,"""จากที่ได้ยินมารู้สึกว่า<br>จะมีข่าวลือว่ามี [นักฆ่าปิดปาก]<br>อยู่ด้วยนะ น่ากลัวๆ"""
un_012370_0040#0,"""แต่ถ้ามีนักฆ่าอยู่ล่ะก็<br>ใครคือคนจ้างล่ะ<br>นั้นแหละที่ข้าอยากรู้"""
un_012370_0050#0,"""ไม่มีมือปืนรับจ้างคนไหนที่ไม่มีใครจ้างหรอก<br>แต่ว่าใครล่ะ ARKS เหรอ... หรือว่าคนอื่น?"""
un_012370_0060#0,"""แต่ก็นะ ไม่ว่าจะเป็นอะไรมันก็<br>ไม่ใช่เรื่องเราจำเป็นต้องระวังตัวซักหน่อย<br>ทั้ง Dragorii ที่บ้าคลั่งนั่นทั้งนักฆ่านั่น"""
un_012370_0010#1,"""や、こんにちは。<br>最近は噂の暴走龍で、みーんな<br>てんてこまいって感じだねえ。"""
un_012370_0020#1,"""大きな出来事で目を逸らすってのは<br>常套手段だからねえ。<br>裏でいろいろ動いてそうだよ？"""
un_012370_0030#1,"""聞くところによると<br>始末屋みたいな存在の噂も<br>あるしねえ。怖い怖い。"""
un_012370_0040#1,"""しかし、始末屋がいると仮定して<br>それを使っているのは<br>一体誰なんだろうね。"""
un_012370_0050#1,"""顧客がいるからこその存在だろう？<br>それはアークスだったりするのか<br>はたまた別の何かなのか……"""
un_012370_0060#1,"""ま、なんにせよ警戒するに<br>こしたことはないって話さ。<br>暴走龍も、始末屋も、ね。"""
