Title#0,"""MISSION：始動"""
Explanation#0,"""このたび新たに開発された<br>アークスの訓練用プログラム、第一弾です。<br>森林、火山洞窟、砂漠が舞台ですが、<br>チャレンジクエストの名に相応しい<br>非常に挑戦的な難易度となっております。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>目標/５つのミッションのクリア"""
SimpleExplanation#0,"""５つのミッションをクリアせよ！"""
Area0S#0,"""ミッション1"""
Area0L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション1"""
Area1S#0,"""ミッション2"""
Area1L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション2"""
Area2S#0,"""ミッション3"""
Area2L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000ミッション3"""
Area3S#0,"""ミッション4"""
Area3L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション4"""
Area4S#0,"""ミッション5"""
Area4L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション5"""
Area5S#0,"""ミッション6"""
Area5L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション6"""
Area6S#0,"""ミッション7"""
Area6L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション7"""
Area7S#0,"""ミッション8"""
Area7L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000ミッション8"""
Area8S#0,"""ミッション9"""
Area8L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション9"""
Area9S#0,"""ミッション10"""
Area9L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション10"""
Area10S#0,"""ミッション11"""
Area10L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション11"""
Area11S#0,"""ミッション12"""
Area11L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション12"""
Area12S#0,"""ミッション13"""
Area12L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000ミッション13"""
Area13S#0,"""ミッション14"""
Area13L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション14"""
Area14S#0,"""ミッション15"""
Area14L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション15"""
Area15S#0,"""ミッション16"""
Area15L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション16"""
Area16S#0,"""ミッション17"""
Area16L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション17"""
Area17S#0,"""ミッション18"""
Area17L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000ミッション18"""
Area18S#0,"""ミッション19"""
Area18L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000ミッション19"""
Area19S#0,"""ミッション20"""
Area19L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000ミッション20"""
Area20S#0,"""インターバルエリア1"""
Area20L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000インターバルエリア1"""
Area21S#0,"""インターバルエリア2"""
Area21L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000インターバルエリア2"""
Area22S#0,"""インターバルエリア3"""
Area22L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000インターバルエリア3"""
Area23S#0,"""インターバルエリア4"""
Area23L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000インターバルエリア4"""
Area24S#0,"""インターバルエリア5"""
Area24L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000インターバルエリア5"""
Area25S#0,"""インターバルエリア6"""
Area25L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000インターバルエリア6"""
Area26S#0,"""インターバルエリア7"""
Area26L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000インターバルエリア7"""
Area27S#0,"""インターバルエリア8"""
Area27L#0,"""アークスシップ\u3000ＶＲ空間(火山)\u3000インターバルエリア8"""
Area28S#0,"""インターバルエリア9"""
Area28L#0,"""アークスシップ\u3000ＶＲ空間(森林)\u3000インターバルエリア9"""
Area29S#0,"""インターバルエリア10"""
Area29L#0,"""アークスシップ\u3000ＶＲ空間(砂漠)\u3000インターバルエリア10"""
Area30S#0,"""インターバルエリア11"""
