pr_062010_0010#0,"""シエラちゃん、どうしたの！？"""
pr_062010_0020#0,"""未確認のワープ反応です！<br>望遠映像、出します！"""
pr_062010_0030#0,"""何、あれ……<br>見たことのない艦隊……！？"""
pr_062010_0040#0,"""おやおやおやおや、こちらの船を<br>そのまま使ってくるなんて<br>ずいぶんエコロジーなんですねえ。"""
pr_062010_0050#0,"""終の女神シバの艦隊。<br>さしずめ、「終の艦隊」<br>といったところですかあ？"""
pr_062010_0060#0,"""それより、あの艦隊内の反応……<br>敵がぎっしりつまってます！"""
pr_062010_0070#0,"""追撃用の艦隊ってことね。<br>徹底してるじゃない。"""
pr_062010_0080#0,"""<%me>！<br>オレとクラリスクレイスの艦隊が<br>敵の艦隊を引きつける！"""
pr_062010_0090#0,"""私もヒューイも派手だからな！<br>囮にはうってつけなはずだ！"""
pr_062010_0100#0,"""ヒューイさん！<br>クラリスクレイスちゃん！"""
pr_062010_0110#0,"""心配は無用だ、先代！<br>私とヒューイが一緒なら最強だからな！"""
pr_062010_0120#0,"""その通り！\u3000オレたちは無敵だ！<br>皆の士気も高く保たれている！"""
pr_062010_0130#0,"""戦いは、戦闘部に任せろ！<br>お前たちは、オレたちにできないことを<br>しっかり果たしてこい！"""
pr_062010_0140#0,"""ふふふ、それじゃあリサも<br>そっちに混ざってきましょうか。"""
pr_062010_0150#0,"""リサが言うべきことは言いましたし<br>あとは戦ってたほうが効率良いですし<br>なにより楽しいですからねえ。"""
