IncidentName#0,"""$(0)撃退"""
TrialBeginMsg#0,"""制限時間内に$(0)を撃退せよ！"""
TrialAbstract#0,"""$(0)の撃退"""
NpcComOnBegin#0,"""魔物たちが邪魔を……！<br>全てを倒して、邪竜のもとへ<br>近づいてください。"""
NpcComOnSuccess#0,"""邪竜を封じることが出来ました。<br>ありがとうございます。"""
NpcComOnOpenLastFence#0,"""移動手段を用意します！<br>邪竜の元へ上がってください！"""
NpcComOnOuterCitadel#0,"""剣を複製します！<br>封印するには至りませんが、この剣で<br>邪竜の鱗にダメージを与えられるはずです！"""
NpcComOnInnerCitadel#0,"""奥まで追い詰めました…！<br>移動手段を用意します！<br>邪竜を追いかけて、上に上がってください！"""
NpcComOnBattleStartOuterCitadel#0,"""邪竜が空へ…！<br>その場所には大砲があるはず。<br>大砲を使って邪竜を撃ち落としてください！"""
NpcComOnSkillHp50#0,"""強力な攻撃が来ます！避けて！"""
NpcComOnSkillHp10#0,"""後少し…！<br>これをしのぎ切れば…！"""
NpcComOnSkillHp50End#0,"""邪竜も弱ってきているようです！<br>後少し…！"""
NpcComOnSkillHp10End#0,"""邪竜にとどめを…！"""
NpcComOnFirstBegin#0,"""魔物たちが邪魔を……！<br>全てを倒して、邪竜のもとへ<br>近づいてください。"""
