Title#0,"""空中遊園アークマランド"""
Explanation#0,"""全アークスに告ぐ。私はアークマである。<br>貴君らが楽しめる訓練を用意した。<br>内容は簡単。定められた時間内に<br>多くの敵を倒しハイスコアを記録せよ。<br>なお道中のエマージェンシートライアルは<br>スコアを稼ぐには欠かせないものである。<br>各員、積極的な挑戦を推奨する。<br>――――――――――――――――――――<br>ルーム内のスコア共有<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""エネミーを撃破しスコアを獲得せよ！"""
NpcComMsg1#0,"""参集に感謝する。<br>これより、エネミーの撃破数による<br>スコアアタックに挑戦されたし。"""
NpcComMsg2#0,"""なお、クエストの途中で発生する<br>エマージェンシートライアルには<br>トライアルオーダーを設定している。"""
NpcComMsg3#0,"""達成により「スコア上昇倍率」が向上。<br>高得点が期待されるため、各員積極的に<br>挑戦されたし。以上。"""
Area0S#0,"""浮遊大陸エリア1"""
Area0L#0,"""惑星アムドゥスキア 浮遊大陸エリア1"""
Area1S#0,"""浮遊大陸エリア2"""
Area1L#0,"""惑星アムドゥスキア 浮遊大陸エリア2"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NPC_QUEST_START#0,"""クエストを開始する。<br>より多くのエネミーを撃破し<br>自身のハイスコアを更新せよ。"""
NPC_TIME_HALF#0,"""予告：終了時刻まで、半分となった。<br>トライアルオーダーの達成をめざし<br>倍率を上げ高得点を取得せよ。"""
NPC_TIME_1MIN#0,"""予告：終了時刻まで、あと１分。<br>最後まで、各自奮闘せよ。"""
LINE_QUEST_START#0,"""エネミーを撃破しスコアを獲得せよ！"""
LINE_TIME_1MIN#0,"""残り時間、あと1分！"""
