msc_014130_0010#0,"""ここが“北の拠点”です。"""
msc_014130_0020#0,"""私たちの調査では、この奥に制御室が<br>確認されていて……。"""
msc_014130_0030#0,"""中にある端末を操作することで、最深部に<br>進む道が開けると考えています。"""
msc_014130_0040#0,"""ドールズに加え、<br>砦のような形状による強固な守りから……。"""
msc_014130_0050#0,"""プラント以上に困難な状況が予想されるため、<br>より入念な準備が必要となります。"""
msc_014130_0060#0,"""観測班による情報収集と解析を基に<br>作戦を進めましょう。"""
msc_014130_0070#0,"""観測班！"""
msc_014130_0080#0,"""そうか、さっきの戦いで……。"""
msc_014130_0090#0,"""他に解析を行える者はいないか？"""
msc_014130_0100#0,"""私たちは解析任務を中心に行っている<br>セントラルシティ所属のアークスです。"""
msc_014130_0110#0,"""こちらで、<br>十分な働きができるか、あまり自信はありませんが……。"""
msc_014130_0120#0,"""セントラルシティの指令室と連携しつつ、<br>情報の収集と解析を行います。"""
msc_014130_0130#0,"""ありがとう。では、頼みます。<br>異変があればすぐに報告を。"""
msc_014130_0140#0,"""情報の収集、解析が終わるまで、<br>各自、補給を。"""
msc_014130_0150#0,"""解析が終わり次第、<br>作戦を再開する。"""
msc_014130_0170#0,"""あなた方も補給を行ってください。<br>準備でき次第、私に報告を。"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
