un_013090_0010#0,"""......สวัสดี"""
un_013090_0020#0,"""......เห็นการประกาศที่เสียงดังหนวกหูก่อน<br>หน้านี้หรือเปล่า? รู้สึกว่าจะวางแผน<br>จัดงานชุมนุมประลองฝีมือขึ้นสินะ"""
un_013090_0030#0,"""......ชั้นคิดว่าถึงหน้าฉากจะพูดแบบนั้น<br>แต่หลังฉากจะต้องมีจุดประสงค์<br>อย่างอื่นอยู่แน่"""
un_013090_0040#0,"""......ชั้นคิดว่ามันน่าอาจจะเป็นงานชุมนุม<br>เพื่อคัดเลือกคนสำหรับการต่อสู้ที่จะ<br>ตึงเครียดขึ้นหลังจากนี้หรือเปล่าน่ะ"""
un_013090_0050#0,"""......มันคงจะจำเป็นที่จะต้องมีพลังที่<br>เท่าเทียมกับศัตรูที่แข็งแกร่งอย่าง <br>Dark Falz ที่เจอก่อนหน้านี้น่ะนะ"""
un_013090_0060#0,"""......แต่ Huey เป็นคนจัดงานชุมนุมนี้<br>ไม่แน่ว่าชั้นอาจจะคิดมากไปเองก็ได้"""
un_013090_0070#0,"""......แต่การที่จะได้ประลองฝีมือกัน<br>มันก็ดูน่าสนุกดีนะ พักนี้ก็ไม่ค่อย<br>จะมีแบบนั้นเลยด้วยสิ"""
un_013090_0080#0,"""......งั้นไว้เจอกันใหม่นะ"""
un_013090_0010#1,"""……こんにちは。"""
un_013090_0020#1,"""……この前のうるさい放送、見た？<br>何か、戦技を競う催しが<br>企画されているみたいね。"""
un_013090_0030#1,"""……表向きにはそういうふうに<br>言っていたけど、裏としては<br>別の目的があると思うの。"""
un_013090_0040#1,"""……今後、厳しくなっていくであろう<br>戦いに向けて、人選をするための<br>催しなんじゃないか、って。"""
un_013090_0050#1,"""……この前のダークファルスみたいな<br>強大なのの相手をするには、相応の<br>力が必要だろうし。"""
un_013090_0060#1,"""……主催があのヒューイだし<br>考えすぎかもしれないけど。"""
un_013090_0070#1,"""……でも、能力を競うというのは<br>なんだかすこし、面白そう。<br>最近そういうの、なかったし。"""
un_013090_0080#1,"""……それじゃあね。"""
