11_voice_NPC_5019_104#0,"""ไม่ใช่ความคิดที่ดีสำหรับ Wizard <br>ที่จะทำทุกอย่างด้วยตัวเอง"""
text02#0,"""พวกเขาต้องร่วมมือร่วมใจ <br>ซึ่งจะสามารถใช้ความสามารถได้มากที่สุด"""
text03#0,"""ยิ่งพวกเขาทำงานด้วยกันมากเท่าไหร่<br>ก็ยิ่งแข็งแกร่งมากขึ้น โดยเฉพาะ<br>การทำงานเป็นทีมและอาศัยประสบการณ์"""
text04#0,"""นี่คือความคิดของข้า <br>มาลองสร้างทีมเวิร์คกับเควส <br>[Cauldron Probe]"""
text100#0,"""ออกเดินทางกับ Partner Characters"""
text101#0,"""<yellow>*Client Order นี้ ท่านจะมี Marlu เป็นเพื่อนร่วมเดินทาง <br>และท่านจะสามารถทำได้ง่ายขึ้น ถ้าท่านตั้งพาสเวิร์ดในเมนู <br>[ใส่ข้อมูลปาร์ติ้] แล้วเลือก [จำกัดการร้องขอจากปาร์ตี้อื่น] เพื่อรับมัน<c>"""
11_voice_NPC_5019_104#1,"""……フォースは単独で動くことを<br>実はあまりよしとしない。"""
text02#1,"""……相互でのフォローがあってこそ<br>最大のポテンシャルを発揮できるの。"""
text03#1,"""……それが、長い付き合いの相手で<br>連携の呼吸が出来上がっていれば<br>なおさら。"""
text04#1,"""……そういう訓練の一環として<br>私と一緒に「火山洞窟探索」を<br>やってみましょう。"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※マールーを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
