st_061130_0230#0,"""これで、頭は潰れましたね。<br>それでは続けて、手を潰しますか。"""
st_061130_0240#0,"""そうはさせないよ！"""
st_061130_0250#0,"""テオ！"""
st_061130_0260#0,"""わかってる！"""
st_061130_0270#0,"""ウルクさんに<br>テオドールくん！？"""
st_061130_0280#0,"""遅くなってごめん！<br>調整に時間食っちゃってさ！"""
st_061130_0290#0,"""でも、状況はだいたいわかってるよ！<br>あいつがどれだけとんでもないかも……！"""
st_061130_0300#0,"""総司令とやらが直々にご苦労です。<br>そのような機械人形で<br>私に立ち向かうつもりですか？"""
st_061130_0310#0,"""冗談。<br>それは私の役目じゃない。"""
st_061130_0320#0,"""絶対令（アビス）、封印解除！<br>総司令権限、絶対令行使！"""
st_061130_0330#0,"""アークス全員、即時撤退！<br>強制転送！"""
st_061130_0340#0,"""マザーシップ・シャオを……放棄します！"""
