name01#0,"""Iio"""
name01#1,"""イオ"""
text00#0,"""โทษนะ ที่ต้องขอให้ช่วย<br>ขอบใจมาก รุ่นพี่"""
text01#0,"""รุ๋นพี่ ขอบใจนะ<br>ที่ยอมทำตามที่ขอ<br>ช่วยได้มากเลยล่ะ"""
text02#0,"""เอ่อ ขอบคุณมาก...<br>ที่ยอมทำให้นะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""悪いな、頼んじゃって。<br>助かったよ、センパイ。"""
text01#1,"""センパイ、ありがとな。<br>頼み、聞いてもらちゃって。<br>助かったよ。"""
text02#1,"""その、助かった……<br>依頼受けてくれて、ありがとな。"""
text03#1,"""ありがとう03"""
text00#2,"""รุ่นพี่เนี่ย สุดยอดไปเลย<br>เจ๋งกว่าที่คิดซะอีก<br>อะ เอาเป็นว่า ขอบคุณละกันนะ"""
text01#2,"""ไอ้นี่ คือของที่สั่งไว้ ใช่มั้ย<br>ยอดกว่าที่คิดอีก ตกใจเลย<br>ขอบคุณนะ รุ่นพี่"""
text02#2,"""...ขอบคุณนะ รุ่นพี่<br>ที่อุตส่าห์ทำให้มากกว่าที่ขอ<br>วะ ไว้จะมาใหม่นะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""すげーな、センパイって。<br>予想以上だったよ。<br>と、ともかく、ありがとな。"""
text01#3,"""これ、頼んでたやつ、だよな。<br>予想以上で、びっくりした。<br>ありがとな、センパイ。"""
text02#3,"""……ありがとな、センパイ。<br>注文した以上のにしてくれて。<br>ま、また頼むよ。"""
text03#3,"""本当にありがとう03"""
