11_voice_NPC_5083_104#0,"""ここに戻ってくるのも<br>すっげえ久しぶりな感じがするな。"""
Zeno_mb16zeno_020#0,"""懐かしんでる場合じゃないってのは<br>わかってるけど……やっぱ、こう<br>帰ってこれる場所ってのはいいな。"""
11_voice_NPC_5083_105#0,"""なりゆきで六芒になっちまったけど<br>別に、接し方とかを<br>変える必要はないからな？"""
Zeno_mb17_020#0,"""絶対令も封印されるって話だ。<br>……まあ、あんなおっかねーもん<br>こっちから願い下げだけど。"""
Zeno_mb17_030#0,"""……ここだけの話だけど<br>マザーシップ騒乱の時、オレは<br>エコーに絶対令を使ってたんだよ。"""
Zeno_mb17_040#0,"""内容は「自分で決めろ」<br>……正直、命令でもなんでもない<br>ただの、お願いみたいなもんさ。"""
11_voice_NPC_5083_100#0,"""そして、あいつは自分の意志で<br>お前さんと一緒に行動した、と。<br>……変わるもんだな、人ってのはよ。"""
11_voice_NPC_5083_100#1,"""なんつーか、色々変わったよな。<br>見た目もそうだし、他にもさ。"""
Zeno_mb18_020#0,"""ま、もうあんな事は起きないと思うけど<br>何かあった時は、言ってくれよ。"""
11_voice_NPC_5083_101#0,"""嗨，<%me><br>你又來見我啦？<br>哎呀，受歡迎的人真是辛苦啊。"""
Zeno_favs_before_020#0,"""對了，我得到了這個東西，<br>不介意的話就請你收下吧。"""
Zeno_favs_before_030#0,"""因為這個東西<br>對我來說是個困擾。"""
Zeno_favs_after_010#0,"""謝禮？\u3000不用了啦。<br>我平常<br>時常受你的照顧耶。"""
Zeno_favs_after_020#0,"""就把這當作是<br>你平常照顧我的感謝吧。"""
11_voice_NPC_5083_101#1,"""おっ、<%me><br>また会いに来てくれたのか？<br>いやー、人気者は大変だな。"""
Zeno_favs_before_020#1,"""そういや、こんなの手に入れたから<br>よければ受け取ってくれないか。"""
Zeno_favs_before_030#1,"""俺が持ってても<br>持て余しちまいそうだからな。"""
Zeno_favs_after_010#1,"""礼？\u3000いらねーよ、そんなの。<br>いつも世話になってんのは<br>こっちなんだぜ。"""
Zeno_favs_after_020#1,"""日頃の感謝を形にした<br>とでも思っといてくれよ。"""
Zeno_favs_present_010#0,"""得到傑諾給予的『爆星橫斬』。"""
Zeno_favs_present_020#0,"""得到傑諾給予的『劍背震擊』。"""
Zeno_favs_present_030#0,"""得到傑諾給予的『合成器』。"""
Zeno_favs_present_040#0,"""得到傑諾給予的『殘酷穿刺擲』。"""
Zeno_favs_present_050#0,"""得到傑諾給予的『圓弧劍氣』。"""
Zeno_favs_present_060#0,"""得到傑諾給予的『合成器』。"""
Zeno_favs_present_070#0,"""得到傑諾給予的『迴旋攻擊』。"""
Zeno_favs_present_080#0,"""得到傑諾給予的『合成器』。"""
Zeno_favs_present_090#0,"""得到傑諾給予的『昇龍刃』。"""
Zeno_favs_present_100#0,"""得到傑諾給予的『合成器』。"""
Zeno_favs_present_010#1,"""ゼノから『ノヴァストライク』を受け取りました。"""
Zeno_favs_present_020#1,"""ゼノから『スタンコンサイド』を受け取りました。"""
Zeno_favs_present_030#1,"""ゼノから『シンセサイザー』を受け取りました。"""
Zeno_favs_present_040#1,"""ゼノから『クルーエルスロー』を受け取りました。"""
Zeno_favs_present_050#1,"""ゼノから『ソニックアロウ』を受け取りました。"""
Zeno_favs_present_060#1,"""ゼノから『シンセサイザー』を受け取りました。"""
Zeno_favs_present_070#1,"""ゼノから『ツイスターフォール』を受け取りました。"""
Zeno_favs_present_080#1,"""ゼノから『シンセサイザー』を受け取りました。"""
Zeno_favs_present_090#1,"""ゼノから『ライジングエッジ』を受け取りました。"""
Zeno_favs_present_100#1,"""ゼノから『シンセサイザー』を受け取りました。"""
