name01#0,"""Echo"""
name01#1,"""エコー"""
11_voice_NPC_5002_104#0,"""ข้ารู้หมดล่ะ แต่การเห็นความสามารถ<br>ที่แตกต่างมันก็น่าหดหู่นะ"""
text02#0,"""แต่ข้าจะทำอะไรได้? ทักษะ <br>จิตวิญญาณและแรงจูงใจต่างกันเหลือเกิน"""
text03#0,"""แต่ถ้าแข็งแกร่งมากไปก็น่ากลัว<br>เพราะศัตรูก็แข็งแกร่งตามและจะอันตรายมาก"""
text04#0,"""แต่อ่อนแอไปก็ไม่ดีเช่นกัน<br>การรักษาสมดุลเป็นเรื่องยาก"""
text05#0,"""เอาล่ะ ข้าไปเอารางวัลของท่านมาให้<br>จงแวะมาที่ประจำเมื่อท่านพร้อม"""
11_voice_NPC_5002_104#1,"""……うーん、わかってはいたけど<br>ここまでまざまざと差を見せられると<br>ちょっと凹むわね。"""
text02#1,"""……まあ、仕方がないのかな。<br>才能もやる気もアークスになった動機も<br>きっと何もかもが、及ばないし。"""
text03#1,"""力を持ちすぎるとね、危ないんだよ。<br>強すぎる力っていうのは、より強い敵を<br>引き寄せてしまう、って。"""
text04#1,"""強すぎるのも考えもの。<br>かといって、弱すぎるのもダメ。<br>ちょうどいいところって、難しいね。"""
text05#1,"""それじゃ、報酬用意してくるから。<br>いつものところで待ってるね。"""
