text01001#0,"""青い空にあつーい日差し！<br>やってきたね、真夏の季節！"""
11_voice_NPC_5099_100#0,"""一年で一番賑やかな時期だよね！<br>楽しまなきゃ損だよ！<br>だからやります、サマーイベント！"""
text01003#0,"""そんなわけだから、今回もいろいろと<br>お手伝いしてくれると嬉しいな！"""
11_voice_NPC_5099_104#0,"""状況はどんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5099_100#1,"""お手伝いしてもらってるけど<br>ちゃんと休憩もとってね！<br>無理は禁物だよ！"""
text04001#0,"""毎日暑いけど、エネミーって<br>暑さを感じたりしないのかなっ？"""
11_voice_NPC_5099_100#2,"""あ、貴方は<br>暑さでバテそうになったら<br>ちゃーんと休憩とってね！"""
text05001#0,"""おつかれさま！<br>夏の暑さに負けず、たっくさん<br>手伝ってくれてありがとう！"""
11_voice_NPC_5099_100#3,"""これでみんなが夏を楽しめる<br>イベントを開催できるよ！<br>全部、貴方のおかげだよ！"""
text05003#0,"""感謝してもしきれないよ！<br>ほんっとーにありがとね！"""
text01#0,"""青い空にあつーい日差し！<br>やってきたね、真夏の季節！"""
11_voice_NPC_5099_100#4,"""一年で一番賑やかな時期だよね！<br>楽しまなきゃ損だよ！<br>だから、サマーリゾートを企画するよ！"""
text03#0,"""そんなわけだから、今回もいろいろと<br>お手伝いしてくれると嬉しいな！"""
text01#1,"""状況はどんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5099_100#5,"""いやー、真夏って感じだね！<br>これだけ暑いとバテちゃうよねー！"""
text02#0,"""お手伝いしてもらってるけど<br>ちゃんと休憩もとってね！<br>無理は禁物だよ！"""
text01#2,"""今年も楽しい夏にしようね！<br>そのための準備、頑張らなきゃ！"""
11_voice_NPC_5099_100#6,"""でも戦いすぎには注意だよ！<br>時には甘いものでも食べて<br>身体を休めないとね！"""
text01#3,"""おつかれさまー！<br>貴方のおかげで、今年も無事に<br>サマーリゾートができるよ！"""
11_voice_NPC_5099_101#0,"""みんなで楽しんで、夏を満喫する！<br>やっぱりこうでなくっちゃ！"""
text03#1,"""ほんとにほんとに、ありがとうっ！"""
