line01#0,"""殲滅完了！<br>クイズ会場解放！"""
line02#0,"""エネミー何体いるでしょうクイズ開始！（全1問）"""
line03#0,"""出現するエネミーの数を数えて<br>15秒以内に答えを選択しろ！"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
line04#0,"""スタート！"""
line05#0,"""タイムアップ！<br>正解は…"""
line06#0,"""すべてのプログラムが終了しました！<br>あなたの最終成績は〇〇ポイントでした！"""
line07#0,"""またのご参加をお待ちしております！"""
quize01_select1#0,"""21体"""
quize01_select2#0,"""22体"""
quize01_select3#0,"""23体"""
quize01_select4#0,"""24体"""
quize01_correct#0,"""22体でした！<br>正解おめでとう！+１ポイントです！"""
quize01_incorrect#0,"""22体でした！<br>不正解！残念です！"""
