name_7199#0,"""グイーデン"""
ssn_014810_0001#0,"""キミか。<br>最近の活躍ぶりは耳にしているぞ。"""
ssn_014810_0002#0,"""ふむ……、見たところ、<br>さらに腕を上げているようだな。"""
ssn_014810_0002_001#0,"""キミもクヴァリスに来ていたか。"""
ssn_014810_0003#0,"""キミにはもう必要ないかもしれないが、<br>また機会があれば、アドバイスをしたいと思う。"""
ssn_014810_0004#0,"""キミの活動には、ほかのアークスも期待しているようだ。<br>今後ともよろしく頼むぞ。"""
ssn_014810_0101#0,"""よく来てくれた。<br>さっそくだが、キミにアドバイスしたいことがある。"""
ssn_014810_0102#0,"""“特殊能力カプセル”についてだ。"""
ssn_014810_0103#0,"""まあ、キミほどの実力者なら、<br>聞くまでもない話かもしれないが……。"""
ssn_014810_0104#0,"""興味があるのなら教えよう。<br>どうだい？"""
ssn_014810_0201#0,"""武器を鍛えるだけで、細かな調整をしていないようなら、<br>この機会にぜひとも試してほしい。"""
ssn_014810_0202#0,"""どのカプセルと交換するかは、キミに任せる。<br>やってみてくれ。"""
ssn_014810_0203#0,"""次は、同じくアイテムラボで、<br>カプセルを装備品に使用してみてくれ。"""
ssn_014810_0204#0,"""どのカプセルをどの装備品に使うかはキミに任せる。<br>是非、やってみてくれ。"""
ssn_014810_0301#0,"""そうか、無理強いはしない。<br>“特殊能力カプセル”について知りたくなったら、また来てくれ。"""
