name01#0,"""希爾達"""
name02#0,"""角色操作方法"""
name01#1,"""ヒルダ"""
name02#1,"""キャラクター操作方法"""
skit00#0,"""要看教學嗎？"""
skit01#0,"""要看教學"""
skit02#0,"""不看教學"""
11_voice_navi02_100#0,"""我是負責訓練用學習課程<br>的希爾達。"""
11_voice_navi02_101#0,"""時間寶貴。<br>趕快開始吧！<br>首先確認移動方法。"""
11_voice_navi02_102#0,"""那麼，就移動到我所指定<br>的位置！慢慢來吧。"""
text01#0,"""教學<br>說明關於『角色操作方法』。"""
text02#0,"""能透過下述操作移動角色。<br><br>前：<%MoveForward><br>後：<%MoveBack><br>左：<%MoveLeft><br>右：<%MoveRight>"""
text03#0,"""能使用左類比搖桿移動角色。"""
text04#0,"""首先移動角色<br>並靠近指定場所。"""
text100#0,"""按下<%MoveForward>、<%MoveBack>、<%MoveLeft>、<%MoveRight>移動到目標地點！"""
text101#0,"""操作左類比搖桿，移動到目標地點吧！"""
text1000#0,"""<%MoveForward><%MoveBack><%MoveLeft><%MoveRight>移動"""
text1001#0,"""以左類比搖桿移動！"""
skit00#1,"""チュートリアルを受けますか？"""
skit01#1,"""チュートリアルを受ける"""
skit02#1,"""チュートリアルを受けない"""
11_voice_navi02_100#1,"""訓練用学習プログラムを担当する<br>ヒルダだ。"""
11_voice_navi02_101#1,"""時間が惜しい。<br>早速だが始めるぞ、<br>まずは移動手段を確認しろ。"""
11_voice_navi02_102#1,"""では、こちらの指定する位置まで<br>移動してみろ。焦るなよ。"""
text01#1,"""チュートリアル<br>『キャラクター操作方法』について説明します。"""
text02#1,"""キャラクターは以下の操作で移動させることができます。<br><br>前：<%MoveForward><br>後：<%MoveBack><br>左：<%MoveLeft><br>右：<%MoveRight>"""
text03#1,"""キャラクターは左スティックで移動させることができます。"""
text04#1,"""まずはキャラクターを動かして<br>指定された場所まで近づいてみましょう。"""
text100#1,"""<%MoveForward>、<%MoveBack>、<%MoveLeft>、<%MoveRight>を押して、目標地点まで移動しろ！"""
text101#1,"""左スティックを操作して、目標地点まで移動しろ！"""
text1000#1,"""<%MoveForward><%MoveBack><%MoveLeft><%MoveRight>移動"""
text1001#1,"""左スティックで移動しろ！"""
