name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ..."""
11_voice_shop_414#0,"""ปฏิบัติภารกิจ ClientOrder <c bb0000>[What kind of skill should I select?]<c><br>ให้ลุล่วง"""
text03#0,"""นี่เป็น ClientOrder ของ Afin ซึ่งอยู่บริเวณ GateArea """
text04#0,"""การจะผ่าน ClientOrder นี้ได้<br>จำเป็นต้องมี SkillPoint ที่เพียงพอนะ"""
text05#0,"""ถ้าหากท่านใช้ SkillPoint ไปหมดแล้ว<br>แนะนำให้ LevelUp ตัวเองก่อน<br>หรือเปลี่ยนเป็น Class อื่น ก็ได้เช่นกัน"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""クライアントオーダー<br><c bb0000>「どういうスキルを選ぼうか？」<c>を<br>達成することです。"""
text03#1,"""ゲートエリアにいるアフィンさんの<br>クライアントオーダーのようですね。"""
text04#1,"""このクライアントオーダーの達成には<br>スキルポイントが必要不可欠です。"""
text05#1,"""もし、既に使いきっている場合は<br>クラスレベルを一つ上昇させるか<br>別のクラスになるといいでしょう。"""
