name_7004#0,"""クロフォード"""
name_7001#0,"""マノン"""
name_7026#0,"""ファリア"""
ssn_017060_0010#0,"""……そうか。<br>ヒバナが……。"""
ssn_017060_0020#0,"""ええ……。<br>それで、まずあなたに。"""
ssn_017060_0030#0,"""事情は分かった。<br>話してくれて、ありがとう。"""
ssn_017060_0040#0,"""……たしかに、ヒバナがリサージェントアークスということは、<br>グレンにとって受け入れがたいだろうね。"""
ssn_017060_0050#0,"""彼に話す前に、もう少し裏付けるデータがほしい。"""
ssn_017060_0060#0,"""ヒバナがリサージェントアークスとして、いったい何をしていたのか。<br>なぜ僕やグレンに近づいてきていたのか……。"""
ssn_017060_0070#0,"""それが分かってから、報告したほうが<br>グレンも……僕も、受け入れられるから。"""
ssn_017060_0080#0,"""わかったわ。<br>でも、他にどこを調べれば良いかしら？"""
ssn_017060_0090#0,"""先ほどの聞き込みで、ルシエランから聞いたのですが、<br>以前は、ネームレスシティにも研究者がいたらしいです。"""
ssn_017060_0100#0,"""ルシエルの研究データには、彼女が手掛けた論文や名簿もなかった。<br>となると、ヒバナはそちらで研究していたのかもしれません。"""
ssn_017060_0110#0,"""調べる価値はありそうね。"""
ssn_017060_0120#0,"""調べに行く際は、<br>ぜひ、私も同行させてください。"""
ssn_017060_0130#0,"""何かわかったら、僕のところに報告を。<br>よろしく頼む。"""
ssn_017060_0140#0,"""データの回収、頼んだよ。"""
ssn_017060_0210#0,"""お疲れさま。<br>帰ってきたんだね。"""
ssn_017060_0220#0,"""はい、データの収集も無事完了しました。<br>解析を進めます。"""
ssn_017060_0230#0,"""………。<br>これは、彼女の、惑星ハルファの観測記録のようね。"""
ssn_017060_0240#0,"""どうやら、ハルファに降り立った以降のもののようです。<br>ルシエルには報告されていないデータのように見受けられますが……。"""
ssn_017060_0250#0,"""……ありがとう。<br>グレンには、僕から報告してもいいだろうか。"""
ssn_017060_0260#0,"""このデータは……彼と見たい。"""
ssn_017060_0270#0,"""……さて、行こうか。"""
ssn_017060_0280#0,"""これからも、<br>よろしく頼むよ。"""
