linewindow#0,"""เกี่ยวกับ [Weapon Palette]"""
text00#0,"""เกี่ยวกับ [Weapon Palette]"""
text01#0,"""อธิบายเกี่ยวกับ Weapon Palette"""
text02#0,"""ท่านสามารถเพิ่มอาวุธและ Photon Move/Photon Magic<br>ที่ Weapon Palette เพื่อการสลับอุปกรณ์สวมใส่อย่างง่ายได้<br><br>Move Palette Up: <%PaletteReverse><br>Move Palette Down: <%PaletteForce>"""
text03#0,"""ใช้ <%Decide> เพื่อสวมใส่อาวุธและ<br>จบการสลับ Weapon Palette"""
text04#0,"""ท่านสามารถเพิ่มอาวุธลงที่ Weapon Palette ได้หลายชิ้น<br>ทว่า Photon Move/Photon Magic จะสามารถเพิ่มสูงสุดได้แค่ 3 ขั้น"""
11_voice_NPC_5003_104#0,"""ก็นะ คนที่จำเป็นต้องทบทวนอาจมีแค่ข้า<br>สำหรับคู่หูคงไม่จำเป็นก็จริง แต่จะช่วย<br>ได้มากเลย ถ้าท่านยอมร่วมทบทวนไปกับข้า"""
text102#0,"""แม้ว่าข้าจะถูกยอมรับในฐานะ ARKS แล้ว<br>แต่ข้าก็ยังอ่อนด้อยประสบการณ์อยู่อีกมาก"""
text103#0,"""ไม่ใช่ว่าข้าอยากจะต่อสู้หรอกนะ <br>แต่พวกเราก็ควรจะจำเทคนิค<br>ที่สามารถใช้ได้เอาไว้ให้แม่นๆ"""
text104#0,"""ก็ด้วยเหตุนี้ มาเริ่มทบทวนกันเลย<br>การสลับอาวุธก็คือพื้นฐานของพื้นฐาน<br>นี่เป็นเทคนิคที่จะขาดไปไม่ได้เลยนะ"""
text105#0,"""ข้ารู้ว่าพวกเขาได้สอนเรื่องนี้แล้วตอนจบภารกิจ<br>ข้าหวังว่าข้าจะยังพอจำและทำมันได้"""
linewindow#1,"""<br>『武器パレット』について<br>"""
text00#1,"""『武器パレット』について"""
text01#1,"""武器パレットについて、説明します。"""
text02#1,"""武器パレットは、武器とフォトンアーツ／テクニックの設定を<br>組み合わせて登録し、簡単に装備を切り替えられます。<br><br>パレット上へ：<%PaletteReverse><br>パレット下へ：<%PaletteForce>"""
text03#1,"""決定：<%Decide>\u3000で装備を選ぶことで<br>武器パレット切り替えが完了です。"""
text04#1,"""武器パレットは武器を複数登録可能です。<br>フォトンアーツ／テクニックも３段まで登録ができます。"""
11_voice_NPC_5003_104#1,"""まあ、復習が必要なのはおれだけで<br>相棒は必要ないだろうけど<br>助けると思って、付き合ってくれよ。"""
text102#1,"""アークスとして認められたとはいえ<br>おれはまだまだペーペーだからさ。"""
text103#1,"""戦いたいってワケじゃないんだけど<br>使える技術はきちんと覚えて<br>使えるようにしておかないとな。"""
text104#1,"""ということで、復習開始っと。<br>基本中の基本、武器の持ち替え方。<br>これも必要不可欠な技術だよな。"""
text105#1,"""修了任務の時に教わったもんな。<br>それじゃ、ちょっとやってみようぜ。"""
