name01#0,"""ヒルダ"""
11_voice_navi02_105#0,"""飲み込みが早くて助かるな。<br>続いてのカリキュラムは、<br>３段の連続攻撃だ。"""
11_voice_navi02_106#0,"""では、タイミングを取って<br>３段攻撃を行ってみろ。"""
text00#0,"""『連続攻撃』について"""
text01#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text02#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text03#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text04#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text05#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text06#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text07#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>をを連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text08#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text09#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>をを連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text10#0,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連続で押す、または押し続けることで、<br>３段攻撃を行います。"""
text100#0,"""<%NormalAttack>で３段攻撃を決めろ！"""
text1000#0,"""<%NormalAttack>で３段攻撃を決めろ！"""
