Title#0,"""Private Beach !"""
Explanation#0,"""นี่คือเควสท์ที่กติกาเหมือน [Beach Wars !] ทุกอย่าง<br>ต่างกันแค่เพียงเป็น Single Party Quest เท่านั้น<br>และที่ชั้นในสุด มีโอกาสเกิด Emergency Trial<br>[นำ Naura ที่หลงทางไปส่ง] สูงกว่าปกติด้วย<br>--------------------------------<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""プライベートビーチ！"""
Explanation#1,"""緊急クエスト「ビーチウォーズ！」が<br>内容そのままでシングルパーティクエスト<br>になりました。<br> 最深部にてエマージェンシートライアル<br>「迷子のナウラをカーゴに護送せよ」が<br>発生しやすくなっています。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過<br><br>"""
SimpleExplanation#0,"""สะสม Beach Point !"""
SimpleExplanation#1,"""ビーチPtをためろ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
