text01#0,"""เป็นที่รู้จักกันดีในหมู่ Ranger ว่าอาวุธที่สะดวก<br>และถนัดมือมากที่สุดคือ Gunslash"""
text02#0,"""ในระยะใกล้ มันสามารถใช้เป็นดาบได้ <br>และแม้จะในระยะไกลมันก็สามารถใช้เป็นปืนได้<br>เป็นอาวุธที่เอกประสงค์มากเลยใช่ไหมล่ะ!"""
text03#0,"""ถ้าให้พูดตามตรงแล้ว มันก็ไม่ได้ดีเหมือนกับปืน<br>ทั่วๆไปหรอก แต่ก็ถือว่าเป็นอาวุธที่มีความสามารถ<br>รอบด้านที่ดีเลยทีเดียว"""
text04#0,"""การได้รู้จักและเรียนรู้ Gunslash <br>ถือเป็นสิ่งสำคัญมากเพราะอย่างนั้นแล้วมันไว้"""
text05#0,"""แทนที่จะมานั่งเรียนรู้มันแล้ว ลองเอาไปปฏิบัติจริง<br>อย่างเช่นการยิงหรือการฟันร่างกายของศัตรูให้ตาย<br>อย่างทรมาณจะดีกว่านะ"""
text06#0,"""Gunslash"""
text07#0,"""Gunslash เป็นอาวุธผสมแบบพิเศษ<br>ที่สามารถสลับการโจมตีระหว่างระยะไกลกับระยะไกลได้"""
text08#0,"""ลองใช้การโจมตีระยะใกล้พื้นฐานด้วย Gunslash พร้อมกับ Photon Move<br>ถึงแม้มันจะไม่มีจุดเด่นเป็นพิเศษ แต่ก็สามารถโจมตีได้ง่ายและรวดเร็ว"""
text09#0,"""ลองใช้การโจมตีระยะไกลพื้นฐานด้วย Gunslash<br><br>ความสะดวกสบายในการโจมตีระยะไกลโดยไม่ต้องเปลี่ยนอาวุธถือเป็นจุดเด่นที่ดีที่สุด"""
text01#1,"""レンジャーといわず、誰でも使える<br>便利な武器、知ってますかあ？<br>ガンスラッシュというやつです。"""
text02#1,"""剣で近接戦闘もできますし<br>銃で遠距離戦闘も可能なんです。<br>まさにオールマイティですねえ。"""
text03#1,"""まあ、正直銃としては頼りないですが<br>使い分けることに意味がある。<br>そういうことみたいですよお。"""
text04#1,"""ガンスラッシュ、知っておくのは<br>重要なことだと思いますよお。<br>ということで、これをあげましょう。"""
text05#1,"""いろいろお勉強するよりも、実際に<br>触って撃って苦しめて殺した方が<br>さくっと身につきますからねえ。"""
text06#1,"""『ガンスラッシュ』について"""
text07#1,"""武器「ガンスラッシュ」について<br><br>ガンスラッシュは、打撃と射撃を切り替えることができる<br>特殊なハイブリッド武器です。"""
text08#1,"""ガンスラッシュ系の打撃モード基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>特長はありませんが<br>攻撃もすばやく行えるので、扱いやすい武器です。"""
text09#1,"""ガンスラッシュ系の射撃モード基本攻撃の動きを<br>確認してみましょう。<br><br>装備を切り替えることなく、射撃が行える便利さが<br>最大の特長といえるでしょう。"""
