11_voice_NPC_5306_100#0,"""<%me>さん<br>こんにちは！"""
text01002#0,"""えへへっ、こっちでもお会いできて<br>うれしいです！"""
text01003#0,"""わたし、強いアークスになるため<br>特訓中なんです。"""
text01004#0,"""今回は、ちょっと違う環境で<br>自分を鍛えてみようと<br>思い切って来ちゃいました！"""
text01005#0,"""いろいろ教えてもらえたら<br>うれしいです！"""
text02001#0,"""わたし、ちょっとずつでも<br>強くなれてるでしょうか……？"""
text02002#0,"""みんなを守れる強いアークス……<br><%me>さん<br>みたいな人が、憧れなんですっ！"""
11_voice_NPC_5306_100#1,"""なんて、なんだかちょっぴり<br>照れくさいですね……えへへ。"""
text03001#0,"""わたし……ずいぶん長い間<br>眠っていたんですね。"""
text03002#0,"""ご心配をおかけしてしまいましたけれど<br>アネットさんを助けに行ったことは<br>後悔してません。"""
text03003#0,"""アネットさんが助かって<br>本当によかったです！"""
text03004#0,"""わたしも、もう大丈夫です。<br>お見舞いのお花<br>ありがとうございました！"""
text04001#0,"""<%me>さん！<br>わたし、もっと強くなりたいんです！"""
text04002#0,"""わたしのせいで、誰かを心配させるのは<br>もう嫌ですから……<br>わたし、頑張りますっ！"""
