name_7661#0,"""バシニア"""
ssn_013010_0001#0,"""ようこそセントラルシティへ。<br>歓迎するよ。"""
ssn_013010_0002#0,"""今はまだいろいろと勉強中ってところかな？<br>大変かもしれないけど、頑張ってね。"""
ssn_013010_0101#0,"""キミは、“タワー”のことって知ってる？<br>……あいや、そこにあるセントラルタワーのことじゃなくて。"""
ssn_013010_0102#0,"""知らなければ、あたしが教えてあげるよ。"""
ssn_013010_0201#0,"""知りたくなったら、また来てよ。"""
ssn_013010_0103#0,"""戦闘力は、足りてるみたいだね。<br>この状態なら、好きなときにタワーにチャレンジできると思うよ。"""
ssn_013010_0104#0,"""いざというときに備えて、戦闘力を上げておくといいと思うよ。<br>じゃ、これからも頑張ってね。"""
ssn_013010_0151#0,"""タワーっていうのは、コクーンと同じような、<br>トレイニア……えーと、訓練施設のことだね。"""
ssn_013010_0152#0,"""コクーンとは、模様とか似てるけど、<br>見た目が違うから、すぐにわかるんじゃないかな。"""
ssn_013010_0153#0,"""けど、タワーの中は、コクーンより広くて攻略も難しいから、<br>しっかり戦闘力を上げてから挑戦したほうがいいよ。"""
ssn_013010_0154#0,"""じゃ、頑張ってみて。"""
ssn_013010_0301#0,"""タワーはコクーンよりも高い訓練効果を得られるから、<br>他にも見つけたら、チャレンジしてみてよ。"""
ssn_013010_0302#0,"""その時はまた、<br>しっかり戦闘力を上げてから臨むようにね。"""
ssn_013010_0303#0,"""あ、そうだ。<br>戦闘力と言えば……。"""
ssn_013010_0304#0,"""戦闘力が足りないと、<br>参加できない緊急作戦なんかもあったりするんだよ。"""
ssn_013010_0305#0,"""いざというときに備えて、戦闘力を上げておくといいと思うよ。<br>じゃ、これからも頑張ってね。"""
