text01#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
11_voice_NPC_5151_100#0,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text03#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text04#0,"""遵守演習的時間限制自然不在話下<br>試試看你能不能以較高的評價達成。<br>難易度就選擇最簡單的就好了。"""
text01#1,"""戻ったな。<br>報告も確認した。<br>良い出来だったと言えよう。"""
11_voice_NPC_5151_100#1,"""ジェットブーツの特徴を<br>よく理解した戦い方だったと言える。"""
text03#1,"""渡したジェットブーツも<br>良く馴染んでいるようだな。<br>そのまま持って行くといい。"""
text04#1,"""ではな。<br>これからもジェットブーツの習熟に<br>励み精進していってくれ。"""
text00#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
text01#2,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text02#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text00#1,"""『ジェットブーツギア』について\u3000"""
text01#3,"""ジェットブーツのギアシステムについて、説明します。<br><br>ジェットブーツの攻撃をヒットさせたり<br>テクニックのチャージ行動を行うことで<br>ギアゲージが蓄積されていきます。"""
text02#1,"""ギアゲージが高まると武器に応じた属性の効果が付与され<br>通常攻撃は範囲と威力が上昇。PAは威力が上昇します。<br><br>また、ジェットブーツに付与された属性とは異なる<br>属性テクニックをチャージすることで、ジェットブーツに<br>付与されている属性を上書きすることが可能です。"""
