mb18_10#0,"""午安！<br>你是Arks的成員吧？"""
11_voice_NPC_5151_100#0,"""傅莉葉的目的<br>所有的任務都完成了！"""
mb18_10#1,"""バウンサーは最近、アークスに<br>新たなクラスとして認可された。"""
11_voice_NPC_5151_100#1,"""だが、まだデータが不足しているため<br>私とカトリが試験運用役となっている。<br>今後とも、よろしく頼む。"""
11_voice_NPC_5151_100#2,"""お前か。<br>ちょうどいいところだった。"""
favs_before_020#0,"""これを渡そうと思っていた。<br>私には不要の代物だが<br>お前には役立つものかもしれん。"""
favs_after_010#0,"""大したものではないが<br>いつも世話になっているからな。"""
favs_after_020#0,"""それではな。"""
favs_present_010#0,"""サガから『フォトンスフィア』を受け取りました。"""
favs_present_020#0,"""サガから『ディスパースシュライク』を受け取りました。"""
favs_present_030#0,"""サガから『エクスキューブ』を受け取りました。"""
favs_present_040#0,"""サガから『エクストリームパス』を受け取りました。"""
favs_present_050#0,"""サガから『グランウェイヴ』を受け取りました。"""
favs_present_060#0,"""サガから『トライブースト＋５０％』を受け取りました。"""
favs_present_070#0,"""サガから『強化成功率＋１０％』を受け取りました。"""
favs_present_080#0,"""サガから『強化リスク軽減（＋２）』を受け取りました。"""
favs_present_090#0,"""サガから『能力追加成功率＋１０％』を受け取りました。"""
favs_present_100#0,"""サガから『モーメントゲイル』を受け取りました。"""
