linewindow#0,"""เกี่ยวกับ [Access Device]"""
text00#0,"""เกี่ยวกับ [Access Device]"""
text01#0,"""Tutorial<br>อธิบายเกี่ยวกับ [Access Device]<br><br>ไอคอน Access จะแสดงอยู่บนอุปกรณ์ที่ท่านสามารถใช้ได้<br>เช่น Message Pack หรือ Rejuve Stations ฯลฯ<br><br>กดปุ่ม <%Access> เพื่อ Access อุปกรณ์"""
text02#0,"""Tutorial<br>อธิบายเกี่ยวกับ [Access Device]<br><br>ไอคอน Access จะแสดงอยู่บนอุปกรณ์ที่ท่านสามารถใช้ได้<br>เช่น Message Pack หรือ Rejuve Stations ฯลฯ<br><br>กดปุ่ม <%Access> เพื่อ Access อุปกรณ์"""
text03#0,"""ไอเทมที่ดรอปเองก็สามารถเก็บได้โดยกดปุ่ม <%Access> เช่นกัน <br>ซึ่งหากกดปุ่ม <%Access> ค้าง<br>ก็จะสามารถเก็บไอเทมได้อย่างต่อเนื่อง"""
text04#0,"""ไอเทมที่ดรอปเองก็สามารถเก็บได้โดยกดปุ่ม <%Access> เช่นกัน <br>ซึ่งหากกดปุ่ม <%Access> ค้าง<br>ก็จะสามารถเก็บไอเทมได้อย่างต่อเนื่อง"""
linewindow#1,"""<br>『アクセス』について<br>"""
text00#1,"""『アクセス』について"""
text01#1,"""チュートリアル<br>『アクセス』について説明します。<br><br>メッセージパックや回復装置など<br>アクセス可能な対象物には、アクセスマークが表示されます。<br><br><%Access>を押すことで、対象にアクセスできます。"""
text02#1,"""チュートリアル<br>『アクセス』について説明します。<br><br>メッセージパックや回復装置など<br>アクセス可能な対象物には、アクセスマークが表示されます。<br><br><%Access>ボタンを押すことで、対象にアクセスできます。"""
text03#1,"""ドロップアイテムも同様に<%Access>で入手できます。<br><%Access>を長押しすると、<br>連続でアイテムを拾うことも可能です。"""
text04#1,"""ドロップアイテムも同様に<%Access>ボタンで入手できます。<br><%Access>ボタンを長押しすると、<br>連続でアイテムを拾うことも可能です。"""
