Title#0,"""Conquer the Dragon Altar"""
Explanation#0,"""มีรายงานแจ้งว่า dragorii จำนวนมาก ณ  Dragon Altar <br>บนดาวเคราะห์Amduskiaกำลังอาละวาดเพราะได้รับ<br>พลังจากD-arkerผู้ที่จะทำลายพลังของ D-arkerได้<br>มีเพียง ARKS เท่านั้น ขณะนี้คำสั่งออกมาแล้ว<br>ขอให้ ARKS ทุกคนไปที่ Dragon Altar <br>และหยุด dragorii ที่กำลังอาละวาด<br>จนลืมหน้าที่ที่แท้จริงด้วย<br>------------------------------------<br>เควสท์พอยท์ เคลียร์เมื่อถึง [180]<br>จะได้รับพอยท์เมื่อกำจัดdragoriiได้"""
Title#1,"""龍祭壇平定任務"""
Explanation#1,"""惑星アムドゥスキア、龍祭壇にて<br>多数の龍族がダーカーの影響を受け<br>暴れているとの連絡が入った。<br>ダーカーの影響を断ち切れるのは<br>アークスのみ。龍族の許可も出ている。<br>アークス各員は龍祭壇へと向かい<br>本来の任を忘れ暴走する龍族を鎮圧せよ。<br>――――――――――――――――――――<br>クエストポイント【180】達成でクリア<br>主に龍族の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด dragorii<br>และสะสมเควสท์พอยท์!"""
SimpleExplanation#1,"""龍族を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
