0#0,"""力量I"""
1#0,"""力量II"""
2#0,"""力量III"""
3#0,"""力量IV"""
4#0,"""力量V"""
5#0,"""射擊I"""
6#0,"""射擊II"""
7#0,"""射擊III"""
8#0,"""射擊IV"""
9#0,"""射擊V"""
10#0,"""術能I"""
11#0,"""術能II"""
12#0,"""術能III"""
13#0,"""術能IV"""
14#0,"""術能V"""
15#0,"""手臂I"""
16#0,"""手臂II"""
17#0,"""手臂III"""
18#0,"""手臂IV"""
19#0,"""手臂V"""
20#0,"""身體I"""
21#0,"""身體II"""
22#0,"""身體III"""
23#0,"""身體IV"""
24#0,"""身體V"""
25#0,"""抵抗力I"""
26#0,"""抵抗力II"""
27#0,"""抵抗力III"""
28#0,"""抵抗力IV"""
29#0,"""抵抗力V"""
30#0,"""心智I"""
31#0,"""心智II"""
32#0,"""心智III"""
33#0,"""心智IV"""
34#0,"""心智V"""
35#0,"""能力I"""
36#0,"""能力II"""
37#0,"""能力III"""
38#0,"""能力IV"""
39#0,"""能力V"""
40#0,"""體力I"""
41#0,"""體力II"""
42#0,"""體力III"""
43#0,"""體力IV"""
44#0,"""體力V"""
45#0,"""精神力I"""
46#0,"""精神力II"""
47#0,"""精神力III"""
48#0,"""精神力IV"""
49#0,"""精神力V"""
50#0,"""力量加成"""
51#0,"""射擊加成"""
52#0,"""術能加成"""
53#0,"""體力加成"""
54#0,"""精神力加成"""
55#0,"""黑暗沙蟲魂魄"""
56#0,"""拉谷內魂魄"""
57#0,"""黑暗力士魂魄"""
58#0,"""愛爾達魂魄"""
59#0,"""機甲忍者魂魄"""
60#0,"""機甲魂魄"""
61#0,"""旺達魂魄"""
62#0,"""磁穿龍魂魄"""
63#0,"""磁炎龍魂魄"""
64#0,"""磁晶龍魂魄"""
65#0,"""岩石熊魂魄"""
66#0,"""猛瑪魂魄"""
67#0,"""牙之暴君男巫魂魄"""
68#0,"""雪之暴君男巫魂魄"""
69#0,"""拉比魂魄"""
70#0,"""變調"""
71#0,"""突變I"""
72#0,"""羈絆"""
73#0,"""藍磁穿龍魂魄"""
74#0,"""烙印"""
75#0,"""光子收集"""
76#0,"""黑暗巨龜魂魄"""
77#0,"""骸龍魂魄"""
78#0,"""葛隆魂魄"""
79#0,"""艾克斯魂魄"""
80#0,"""阿魯達阿魯瑪"""
81#0,"""阿魯達第羅"""
82#0,"""阿魯達瑪姬"""
83#0,"""服力谷特阿魯瑪"""
84#0,"""服力谷特第羅"""
85#0,"""服力谷特瑪姬"""
86#0,"""裴魯桑納魂魄"""
87#0,"""庫加魂魄"""
88#0,"""歐魯古魂魄"""
89#0,"""海龍魂魄"""
90#0,"""林卡魂魄"""
91#0,"""索瑪魂魄"""
92#0,"""踏卡米卡魂魄"""
93#0,"""瑪利達魂魄"""
94#0,"""梅迪納魂魄"""
95#0,"""畢布羅斯魂魄"""
96#0,"""路薩魂魄"""
97#0,"""莉莉魂魄"""
98#0,"""拉塔狂熱"""
99#0,"""聖誕狂熱"""
100#0,"""戀愛狂熱"""
101#0,"""LaVie狂熱"""
102#0,"""彩蛋狂熱"""
103#0,"""青蛙狂熱"""
104#0,"""夏日狂熱"""
105#0,"""力塔納Ⅰ"""
106#0,"""力塔納Ⅱ"""
107#0,"""力塔納Ⅲ"""
108#0,"""力塔納Ⅳ"""
109#0,"""力塔納Ⅴ"""
110#0,"""龍之狂熱"""
111#0,"""象之狂熱"""
112#0,"""魂魄接收器"""
113#0,"""印記．吉歐"""
114#0,"""印記．卡雷吉娜"""
115#0,"""印記．安卡魯"""
116#0,"""印記．格利夫"""
117#0,"""暗夜裝甲．魂魄"""
118#0,"""dummy"""
119#0,"""dummy"""
120#0,"""dummy"""
121#0,"""dummy"""
122#0,"""dummy"""
123#0,"""dummy"""
124#0,"""dummy"""
125#0,"""dummy"""
126#0,"""dummy"""
127#0,"""dummy"""
128#0,"""dummy"""
129#0,"""dummy"""
130#0,"""dummy"""
131#0,"""dummy"""
132#0,"""dummy"""
133#0,"""dummy"""
134#0,"""dummy"""
135#0,"""dummy"""
136#0,"""dummy"""
137#0,"""dummy"""
138#0,"""dummy"""
139#0,"""dummy"""
140#0,"""dummy"""
141#0,"""dummy"""
142#0,"""dummy"""
143#0,"""dummy"""
144#0,"""dummy"""
145#0,"""dummy"""
146#0,"""dummy"""
147#0,"""dummy"""
148#0,"""dummy"""
149#0,"""dummy"""
150#0,"""dummy"""
151#0,"""手臂EX I"""
152#0,"""手臂EX II"""
153#0,"""手臂EX III"""
154#0,"""手臂EX IV"""
155#0,"""手臂EX V"""
156#0,"""能力EX I"""
157#0,"""能力EX II"""
158#0,"""能力EX III"""
159#0,"""能力EX IV"""
160#0,"""能力EX V"""
161#0,"""體力EX I"""
162#0,"""體力EX II"""
163#0,"""體力EX III"""
164#0,"""體力EX IV"""
165#0,"""體力EX V"""
0#1,"""パワーⅠ"""
1#1,"""パワーⅡ"""
2#1,"""パワーⅢ"""
3#1,"""パワーⅣ"""
4#1,"""パワーⅤ"""
5#1,"""シュートⅠ"""
6#1,"""シュートⅡ"""
7#1,"""シュートⅢ"""
8#1,"""シュートⅣ"""
9#1,"""シュートⅤ"""
10#1,"""テクニックⅠ"""
11#1,"""テクニックⅡ"""
12#1,"""テクニックⅢ"""
13#1,"""テクニックⅣ"""
14#1,"""テクニックⅤ"""
15#1,"""アームⅠ"""
16#1,"""アームⅡ"""
17#1,"""アームⅢ"""
18#1,"""アームⅣ"""
19#1,"""アームⅤ"""
20#1,"""ボディⅠ"""
21#1,"""ボディⅡ"""
22#1,"""ボディⅢ"""
23#1,"""ボディⅣ"""
24#1,"""ボディⅤ"""
25#1,"""リアクトⅠ"""
26#1,"""リアクトⅡ"""
27#1,"""リアクトⅢ"""
28#1,"""リアクトⅣ"""
29#1,"""リアクトⅤ"""
30#1,"""マインドⅠ"""
31#1,"""マインドⅡ"""
32#1,"""マインドⅢ"""
33#1,"""マインドⅣ"""
34#1,"""マインドⅤ"""
35#1,"""アビリティⅠ"""
36#1,"""アビリティⅡ"""
37#1,"""アビリティⅢ"""
38#1,"""アビリティⅣ"""
39#1,"""アビリティⅤ"""
40#1,"""スタミナⅠ"""
41#1,"""スタミナⅡ"""
42#1,"""スタミナⅢ"""
43#1,"""スタミナⅣ"""
44#1,"""スタミナⅤ"""
45#1,"""スピリタⅠ"""
46#1,"""スピリタⅡ"""
47#1,"""スピリタⅢ"""
48#1,"""スピリタⅣ"""
49#1,"""スピリタⅤ"""
50#1,"""パワー・ブースト"""
51#1,"""シュート・ブースト"""
52#1,"""テクニック・ブースト"""
53#1,"""スタミナ・ブースト"""
54#1,"""スピリタ・ブースト"""
55#1,"""グワナ・ソール"""
56#1,"""ラグネ・ソール"""
57#1,"""ウォルガ・ソール"""
58#1,"""エルダー・ソール"""
59#1,"""シグノ・ソール"""
60#1,"""マイザー・ソール"""
61#1,"""ヴァーダー・ソール"""
62#1,"""キャタ・ソール"""
63#1,"""ヴォル・ソール"""
64#1,"""クォーツ・ソール"""
65#1,"""ロックベア・ソール"""
66#1,"""マルモ・ソール"""
67#1,"""ファング・ソール"""
68#1,"""スノウ・ソール"""
69#1,"""ラッピー・ソール"""
70#1,"""モデュレイター"""
71#1,"""ミューテーションⅠ"""
72#1,"""ウィンクルム"""
73#1,"""ランサ・ソール"""
74#1,"""スティグマ"""
75#1,"""フォトンコレクト"""
76#1,"""シュレイダ・ソール"""
77#1,"""クローム・ソール"""
78#1,"""ゴロン・ソール"""
79#1,"""エクス・ソール"""
80#1,"""アルター・アルマ"""
81#1,"""アルター・ティロ"""
82#1,"""アルター・マギア"""
83#1,"""フリクト・アルマ"""
84#1,"""フリクト・ティロ"""
85#1,"""フリクト・マギア"""
86#1,"""ペルソナ・ソール"""
87#1,"""クーガー・ソール"""
88#1,"""オルグ・ソール"""
89#1,"""バル・ソール"""
90#1,"""リンガ・ソール"""
91#1,"""ソーマ・ソール"""
92#1,"""タガミカヅチ・ソール"""
93#1,"""マリューダ・ソール"""
94#1,"""メデューナ・ソール"""
95#1,"""ビブラス・ソール"""
96#1,"""ルーサー・ソール"""
97#1,"""リーリー・ソール"""
98#1,"""ラタン・フィーバー"""
99#1,"""セント・フィーバー"""
100#1,"""ラブ・フィーバー"""
101#1,"""ラヴィ・フィーバー"""
102#1,"""エグ・フィーバー"""
103#1,"""フログ・フィーバー"""
104#1,"""サマー・フィーバー"""
105#1,"""リターナーⅠ"""
106#1,"""リターナーⅡ"""
107#1,"""リターナーⅢ"""
108#1,"""リターナーⅣ"""
109#1,"""リターナーⅤ"""
110#1,"""ドラゴン・フィーバー"""
111#1,"""エレファント・フィーバー"""
112#1,"""ソールレセプター"""
113#1,"""マーク・ジョイオ"""
114#1,"""マーク・カレジナ"""
115#1,"""マーク・アンガル"""
116#1,"""マーク・グリフ"""
117#1,"""ナイトギア・ソール"""
118#1,"""dummy"""
119#1,"""dummy"""
120#1,"""dummy"""
121#1,"""dummy"""
122#1,"""dummy"""
123#1,"""dummy"""
124#1,"""dummy"""
125#1,"""dummy"""
126#1,"""dummy"""
127#1,"""dummy"""
128#1,"""dummy"""
129#1,"""dummy"""
130#1,"""dummy"""
131#1,"""dummy"""
132#1,"""dummy"""
133#1,"""dummy"""
134#1,"""dummy"""
135#1,"""dummy"""
136#1,"""dummy"""
137#1,"""dummy"""
138#1,"""dummy"""
139#1,"""dummy"""
140#1,"""dummy"""
141#1,"""dummy"""
142#1,"""dummy"""
143#1,"""dummy"""
144#1,"""dummy"""
145#1,"""dummy"""
146#1,"""dummy"""
147#1,"""dummy"""
148#1,"""dummy"""
149#1,"""dummy"""
150#1,"""dummy"""
151#1,"""アームＥＸⅠ"""
152#1,"""アームＥＸⅡ"""
153#1,"""アームＥＸⅢ"""
154#1,"""アームＥＸⅣ"""
155#1,"""アームＥＸⅤ"""
156#1,"""アビリティＥＸⅠ"""
157#1,"""アビリティＥＸⅡ"""
158#1,"""アビリティＥＸⅢ"""
159#1,"""アビリティＥＸⅣ"""
