name01#0,"""體態文雅的男性"""
name02#0,"""端莊的女性"""
name03#0,"""年輕女性"""
name04#0,"""？？？"""
st_052090_0010#0,"""向<%me>説「有想見您的人」<br>被這樣説的哈莉艾特<br>邀請去的地方是昆特南方的都市。"""
st_052090_0020#0,"""比起叫做邊境，叫做僻地更合適呢。<br>距離王都很遠的城市之一。<br>感覺不到戰爭的氣息，很小的城市。"""
st_052090_0030#0,"""哦哦！　哈莉艾特殿下！<br>歡迎回來！"""
st_052090_0040#0,"""聽説受到了襲擊<br>好擔心大家……<br>沒事真是太好了。"""
st_052090_0050#0,"""哈莉艾特殿下，一定累了吧。<br>馬上為殿下準備房間。<br>瓦爾納殿下也是，這位被帶來的殿下也是，都請。"""
st_052090_0060#0,"""大家的擔心，不敢當不敢當。<br>但是，我沒問題的。<br>託大家的福，我就像現在看到的這樣健康呢。"""
st_052090_0070#0,"""我要去照顧客人啦。<br>請不要在意，專心幹自己的事吧。"""
st_052090_0080#0,"""不好意思，這麼吵鬧。<br>這裡是我們昆特革命軍的根據地。"""
st_052090_0090#0,"""雖説是革命軍<br>不過真是有著好多人呢。"""
st_052090_0100#0,"""大家都是不想服從<br>掛著現王頭銜的宰相魯茲的強権的人。"""
st_052090_0110#0,"""宰相魯茲的最優先事項是<br>徒花的回收和使用那個召喚魔神城。"""
st_052090_0120#0,"""不管有沒有人民居住<br>接二連三地召喚出魔神城。<br>……那已經是偏離常識了。"""
st_052090_0130#0,"""太過分的技術會導致自身的滅亡。<br>……徒花肯定是那一類的東西。"""
st_052090_0140#0,"""<%me>殿下。<br>想見您人就在這裡面。"""
st_052090_0150#0,"""進來了哦。"""
st_052090_0160#0,"""……哎呀呀，不是只要敲了門<br>就可以隨便進入的吧。<br>如果不等待回應的話就沒意義了啊。"""
st_052090_0170#0,"""就是因為等待哥哥的回覆<br>才會等到天黑的吧。"""
st_052090_0180#0,"""呼呼，這究竟是<br>多少天以後的黃昏呢。"""
st_052090_0190#0,"""……啊！？<br>這個聲音是……！"""
st_052090_0200#0,"""哦呀，有客人麼？<br>終於我們也到了要交納房租的時候了麼？"""
st_052090_0210#0,"""怎麼會……<br>你怎麼會在這裡……！"""
st_052090_0220#0,"""１．盧瑟！？"""
