un_020520_0010#0,"""อ้าวอ้าวแหมแหม<br>ดีค่ะดีค่ะสวัสดีค่า<br>Risa น่ะนะกำลังร่วมมือฝึกอยู่ล่ะค่า"""
un_020520_0020#0,"""......Risa ......รอด้วยสิ"""
un_020520_0030#0,"""ช้าจังเลยค่ะ คุณ Marlu<br>พวกศัตรูน่ะทั้งดิ้นทั้งกระจาย<br>และก็ตายไปหมดแล้วนะคะ?"""
un_020520_0040#0,"""......ชั้นว่า Risa เร็วเกินไปตางหากล่ะ<br>คุณก็ช่วยพูดกับเธอบ้างสิ<br>ว่าเธอน่ะล่วงหน้ามาเยอะเกินไปแล้ว"""
un_020520_0050#0,"""ไม่จริงๆ มันไม่ใช่แบบนั้นเลยนะคะ?<br>มันเป็นการร่วมมือกันระหว่าง Ranger กับ Wizard<br>ดังนั้น Risa ก็ต้องเป็นคนวิ่งนำหน้าสิคะ"""
un_020520_0060#0,"""Ranger ต้องผู้ที่คอยคุมศัตรูเอาไว้และ<br>Wizard ก็ต้องเป่าพวกมันให้หายเรียบ<br>นั่นเป็นเรื่องธรรมดานะคะ"""
un_020520_0070#0,"""......นั่นก็อาจจะจริง แต่ว่า"""
un_020520_0080#0,"""แต่ก็นะ Risa น่ะถึงจะแค่คนเดียว<br>ก็เดินหน้าไล่ฆ่าเรื่อยๆ อยู่แล้วล่ะค่ะ"""
un_020520_0090#0,"""......ถ้าอย่างนั้น การฝึกของชั้น<br>ก็ไม่เป็นการฝึกกันพอดีน่ะสิ"""
un_020520_0100#0,"""เป็นไปไม่ได้ เป็นไปไม่ได้เลยค่ะ<br>การเคลื่อนไหวที่รวดเร็วน่ะเป็นพลังที่<br>คุณๆ Wizard ทุกคนแสวงหาไม่ใช่เหรอคะ?"""
un_020520_0110#0,"""แต่ว่าแต่ว่า ถ้าหากจับคู่กับพวก<br>คุณๆ Hunterล่ะก็ ความเร็วในการ<br>รุดหน้าน่ะเทียบตอนนี้ไม่ได้เลยนะคะ"""
un_020520_0120#0,"""ถ้ามัวแต่เรื่อยๆ เฉื่อยๆ ล่ะก็<br>เดี๋ยวจะถูกพวกเขาทิ้งเอานะคะ?<br>อย่างนั้นจะดีเหรอคะ?"""
un_020520_0130#0,"""......ชั้นจะพยายามอีกซักนิดก็แล้วกัน"""
un_020520_0140#0,"""คิกคิก ความตั้งใจแบบนั้นล่ะค่ะ"""
un_020520_0010#1,"""おやおやあらあら<br>どうもどうもこんにちわ。<br>リサは連携訓練中ですよお。"""
un_020520_0020#1,"""……リサ……待って。"""
un_020520_0030#1,"""遅いですよお、マールーさん。<br>敵さんはもう舞って散って<br>死んでしまいましたけど？"""
un_020520_0040#1,"""……リサが早すぎるんだと思う。<br>貴方からも、言ってくれないかしら。<br>ちょっと先行しすぎ、って。"""
un_020520_0050#1,"""いえいえそんなことありませんよお？<br>レンジャーとフォースの連携ですから<br>リサが目立たないとだめです。"""
un_020520_0060#1,"""レンジャーが敵さんをコントロールして<br>フォースがまとめて吹き飛ばす。<br>それが常套ですからねえ。"""
un_020520_0070#1,"""……それはそうかも、だけど。"""
un_020520_0080#1,"""まあ、リサはひとりでもどんどん<br>殺ってしまいますけどねえ。"""
un_020520_0090#1,"""……それって、私の訓練には<br>ならないんじゃないかしら。"""
un_020520_0100#1,"""とんでもない、ええとんでもない。<br>拙速な立ち回りはフォースのみなさんに<br>求められる力ですよお？"""
un_020520_0110#1,"""でもでも、ハンターのみなさんと<br>組んだら、速度はこの比では<br>ありません。"""
un_020520_0120#1,"""あんまりゆっくりだと<br>置いてかれちゃいますよお？<br>それでもいいんですかあ？"""
un_020520_0130#1,"""……もう少し、頑張る。"""
un_020520_0140#1,"""ふふっ、その意気ですよお。"""
