11_voice_NPC_5007_104#0,"""ขอโทษที ดูข้าจะมาผิดที่ผิดทางซินะ<br>ข้าจะไปเดี๋ยวนี้แหละ ขอบคุณที่เข้าใจ"""
11_voice_NPC_5007_104#1,"""……申し訳ありません、私のような者が<br>ここにいるのは不自然ですよね？<br>早急に去るので、しばしのご容赦を。"""
11_voice_NPC_5007_100#0,"""...ที่นี่ผู้คนดูมีควมสุขและมีรอยยิ้มทุกคน<br>มีอะไรสนุกๆกำลังจะเกิดขึ้นเหรอ?"""
11_voice_NPC_5007_100#1,"""……ここにいらっしゃる皆様は<br>笑顔の方や楽しそうな方が多いですね。<br>何か楽しいことが起こっているのですか？"""
11_voice_NPC_5007_105#0,"""ข้าไม่ค่อยคุ้นเคยกับที่ๆมีคนเยอะแบบนี้<br>บางครั้งข้าสงสัยว่าจะมีใครเห็นข้าไหม<br>ข้ารู้สึกประหม่ามาก"""
11_voice_NPC_5007_105#1,"""こう、人が多いところは苦手です。<br>自分の存在が胡乱になって……<br>ふわふわしてしまうので。"""
11_voice_NPC_5007_100#2,"""...ข้าไม่ได้อยู่ข้าง Guntram ตลอด<br>ข้าต้องมีเวลาให้ตัวเองเหมือนกัน"""
11_voice_NPC_5007_100#3,"""……いつもゲッテムハルト様と一緒<br>というわけではないんですよ？<br>私にもプライベートな時間はあります。"""
11_voice_NPC_5007_108#0,"""....อะไรคือความถูกต้อง<br>อะไรคือสิ่งที่ผิด<br>ข้าไม่รู้เลยและข้าก็ไม่อยากจะคิดด้วย"""
11_voice_NPC_5007_108#1,"""……何が正しくて<br>何が間違っているのか。<br>私は知りません。考えませんから。"""
Alice_01_10#0,"""มีธุระอะไรกับชั้นอย่างนั้นรึคะ?<br>......มีเรื่องที่อยากจะถาม?"""
Alice_01_20#0,"""......เรื่องความรักกับเผ่าพันธุ์อื่นรึคะ<br>ความรัก...... เหรอ"""
Alice_01_30#0,"""......ท่านจะมาถามเรื่องนั้น<br>กับชั้นอย่างนั้นรึคะ"""
Alice_01_40#0,"""......เปล่า ไม่มีอะไรค่ะ<br>ท่านเองก็ไม่ได้มีความสัมพันธ์ที่จะมา<br>เอาใจใส่เรื่องของชั้นด้วย ช่วยไม่ได้ค่ะ"""
Alice_01_50#0,"""สิ่งที่ชั้นจะพูดก็มีแค่อย่างเดียว<br>......ซึ่งก็คือ ชั้นไม่มีอะไรที่จะพูดเป็น<br>พิเศษเกี่ยวกับเรื่องนี้ค่ะ เท่านั้นล่ะค่ะ"""
Alice_01_60#0,"""ชั้นคิดว่าถ้าหากท่านคิดตั้งใจอยากจะถาม<br>จริงๆ ล่ะก็ ควรจะไปถามเอาจากคนอื่นค่ะ<br>......ถ้าเช่นนั้น ชั้นขอตัวก่อนค่ะ"""
Alice_01_10#1,"""私に何かご用でしょうか？<br>……聞きたいこと？"""
Alice_01_20#1,"""……他種族との恋愛、ですか。<br>恋愛……ですか。"""
Alice_01_30#1,"""……貴方様は<br>それを私に聞くのですか。"""
Alice_01_40#1,"""……いえ、なんでもありません。<br>貴方様に配慮してもらうような<br>間柄でもありませんし、止むなしです。"""
Alice_01_50#1,"""だから私から言えることは一つだけ。<br>……特に申し上げられるような事は<br>何もありません。それだけです。"""
Alice_01_60#1,"""きちんとした話が聞きたいのであれば<br>他の方に伺うべきかと思います。<br>……それでは。"""
11_voice_NPC_5007_108#2,"""ชั้นน่ะยังอ่อนด้อยประสบการณ์ค่ะ<br>ชั้นคิดว่าตัวเองจำเป็นจะต้องฝึกฝน<br>ทั้งร่างกายและจิตใจให้มากกว่านี้ค่ะ"""
mb15_020#0,"""ทว่า ฝึกแค่คนเดียวจะไม่ค่อยมีประสิทธิภาพ<br>ดังนั้น ถ้าหากว่าท่านมีโอกาส ชั้นก็อยากจะ<br>ให้ท่านชวนชั้นไปปฏิบัติภารกิจกับท่าน"""
mb15_030#0,"""......แบบนั้นน่าจะได้ประสิทธิภาพดีกว่าค่ะ"""
11_voice_NPC_5007_108#3,"""私は未熟者です。<br>もっと自分自身を、心身ともに<br>鍛えなければ、と思っています。"""
mb15_020#1,"""ですが、一人ではそれも非効率……<br>だから、機会があれば貴方様の任務に<br>誘っていただければ、と。"""
mb15_030#1,"""……そのほうが効率も良いので。"""
11_voice_NPC_5007_104#2,"""ชั้นน่ะจะทำสิ่งที่ตัวเองสามารถทำได้<br>มีแค่เท่านั้นล่ะค่ะ<br>ไม่มีอะไรนอกเหนือไปกว่านั้น"""
11_voice_NPC_5007_104#3,"""私は、私に出来ることをやっていく。<br>それしかありません。<br>それ以外に、ありません。"""
