name_7200#0,"""カルテヴィエ"""
ssn_012050_0001#0,"""どこからでも見えるセントラルタワー。<br>このセントラルシティを象徴する建物だね。"""
ssn_012050_0002#0,"""そして、広い範囲に電波を送受信できる電波塔でもあるのさ。<br>おかげでボクたちは、どこにいても通信できるってわけさ。"""
ssn_012050_0101#0,"""ブルーダーから、話は聞いているのさ。"""
ssn_012050_0102#0,"""装備は、ちゃんと強化してるかい？"""
ssn_012050_0103#0,"""今回は、限界まで装備を鍛えたその先……、<br>“限界突破”について教えてあげるのさ。"""
ssn_012050_0104#0,"""まあ、そんなややこしい話じゃないんだけどさ。"""
ssn_012050_0105#0,"""武器や防具は、アイテムラボで強化することができる。<br>でも、その強化にも限界があるのさ。"""
ssn_012050_0106#0,"""その限界を突破するには、<br>どうすればいいか……っていう話なのさ。"""
ssn_012050_0107#0,"""そこは、習うより慣れろってやつだね。<br>ほら、これをあげるから、ラボに行ってみるといいのさ。"""
ssn_012050_0201#0,"""そうかい。気が向いたら、また来るといいさ。"""
