un_012340_0005#0,"""[Unnatural Life]<br>ใส่ข้อความ"""
un_012340_0010#0,"""<%me> คุง<br>มาตามหามังกรคลั่งตัวนั้นเหรอ?"""
un_012340_0020#0,"""ได้ยินข่าวลือมาบ้างเหมือนกัน<br>หลายกระแสบอกว่า มันเดินทางข้ามมิติได้<br>โดยไม่ทิ้งร่องรอยอะไรไว้เลย"""
un_012340_0030#0,"""[เท่าที่] [Rela รู้นะ]<br>[พวก Rela] [ไม่มีใครทำแบบนั้นได้เลย]<br>[เค้า] [เป็นพวก Rela] [จริงๆเหรอ?]"""
un_012340_0040#0,"""ชั้นก็สงสัยเรื่องนั้นเหมือนกัน<br>แต่พอเธอพูดแบบนั้น ตอนนี้ชั้นมั่นใจละ"""
un_012340_0050#0,"""มังกรคลั่งตัวนั้น ไม่ใช่ Dragorii แน่นอน<br>แล้วอีกอย่าง ก็ไม่น่าใช่<br>สิ่งมีชีวิตที่อยู่บนดาวดวงนี้ด้วย"""
un_012340_0060#0,"""[แต่ทำไม] [ไม่รู้นะ]<br>[Rela รู้สึก] [คุ้น ๆ ] [มากเลย]"""
un_012340_0070#0,"""[เพราะแบบนั้น]<br>[เค้าถึง] [ปรากฏตัว]<br>[ให้ Rela เห็นรึเปล่านะ?]"""
un_012340_0080#0,"""อืม...คุ้นงั้นเหรอ<br>จำได้จากร่างกาย<br>หรือว่า ความรู้สึกกันแน่?"""
un_012340_0090#0,"""...แต่ไงก็ตาม<br>ก็ไม่เคยพบสิ่งมีชีวิตชนิดไหน<br>เป็นแบบนั้นมาก่อนน่ะนะ เสียใจด้วย"""
un_012340_0100#0,"""ความสามารถน่าสนใจก็จริง...<br>แต่นอกจากสิ่งมีชีวิตที่อยู่ตามธรรมชาติแล้ว<br>อย่างอื่นชั้นไม่สนน่ะนะ"""
un_012340_0005#1,"""【不自然なる命】<br>仮テキスト"""
un_012340_0010#1,"""<%me>くん。<br>かの暴走龍の捜索中かな？"""
un_012340_0020#1,"""噂はいろいろ聞いているよ。<br>空間を引き裂いて出現する<br>なかなか豪快な話だね。"""
un_012340_0030#1,"""〔私たち〕〔同胞のうちに〕<br>〔その力〕〔持つ者はいない〕<br>〔本当に〕〔私たちの〕〔同胞か？〕"""
un_012340_0040#1,"""私も最初にそれは指摘したんだ。<br>レラくんの意見で確定だろう。"""
un_012340_0050#1,"""あの暴走龍は、龍族ではないよ。<br>すくなくとも、この惑星の<br>住人ではないはずだ。"""
un_012340_0060#1,"""〔しかし〕〔なぜだろう〕<br>〔懐かしい〕〔そんな〕〔気もする〕"""
un_012340_0070#1,"""〔それを感じるからこそ〕<br>〔かの龍も〕〔この地に〕<br>〔姿を見せるのでは？〕"""
un_012340_0080#1,"""ふむ……懐かしい、か。<br>身体が覚えているのかな？<br>それとも、感じているのか？"""
un_012340_0090#1,"""……なんにせよ<br>あまり真っ当な存在では<br>なさそうなのが、残念だよ。"""
un_012340_0100#1,"""能力は魅力的に見えるが……<br>私は、自然より生まれ出でた<br>生命以外には、興味がないんだ。"""
