common01#0,"""ダミーメッセージ"""
sk_common_0010#0,"""そこまでッ！<br>見事見事、お見事だ！<br>君達の動き、とくと見せてもらった！"""
sk_common_0020#0,"""……むむう。<br>少しばかり物足りない成績だな！"""
sk_common_0030#0,"""だが、この戦技大会を最後まで<br>成し遂げたその意気やよし！<br>それこそアークスに必要なものだ！"""
sk_common_0040#0,"""惜しくも上位入賞ならず<br>エキシビションもお預け、だが<br>君達の心意気は十二分に届いた！"""
sk_common_0050#0,"""さあ、帰還するといい！<br>皆が君を待っているぞ！"""
sk_common_0060#0,"""文句のつけようのない成績だ！<br>企画したオレの面目躍如！<br>オレすごい！\u3000オレ慧眼！"""
sk_common_0070#0,"""しかしまあ、参加者の君達の<br>努力があってこその成績だ！"""
sk_common_0080#0,"""これは一つ、特別なご褒美を<br>用意してやらねば気が済まない！"""
sk_common_0090#0,"""はーっはっはっは！<br>参加者諸君、ごくろうごくろう！<br>楽しんでくれているかなー！"""
sk_common_0100#0,"""おいヒューイ、おいヒューイ！<br>これ、私も参加したいぞ！<br>参加しちゃダメなのか！"""
sk_common_0110#0,"""お前は運営側だろ……<br>こほん……気を取り直して<br>途中経過の報告だ！"""
sk_common_0120#0,"""誰だ？"""
sk_common_0130#0,"""あっ、その名前は<br>聞いたことあるような……<br>でも、ないような……"""
sk_common_0140#0,"""とはいえ、全員ほぼ横並びだ！<br>接戦熱戦大激戦！<br>いくらでも逆転のチャンスはあるぞ！"""
sk_common_0150#0,"""ねー、ヒューイ。<br>書いてあることそのまま読んで<br>どうするんだ？\u3000楽しいのか？"""
sk_common_0160#0,"""さあ、ということで後半戦も<br>引き続き、諸君の活躍に期待する！<br>以上！"""
sk_common_0170#0,"""……ほらクラリスクレイス<br>これ参加者の資料だから<br>今後のためにもちゃんと読んどけ、な？"""
sk_common_0180#0,"""ま、待って、ヒューイ！<br>……あたしのことは、どうするの？"""
sk_common_0190#0,"""ん？\u3000どうするもこうするも<br>最優秀賞おめでとう、以外に<br>何か伝えることがあるか？"""
sk_common_0200#0,"""いや、そうじゃなくって……"""
sk_common_0210#0,"""ふはははははっ！<br>細かいことは気にするな！"""
sk_common_0220#0,"""刃を交えてみてわかった！<br>君の心意気に邪なものはない！<br>だから、細かいことはどうでもいい！"""
sk_common_0230#0,"""正義の心を忘れなければ<br>大抵のことはなんとかなるものだ！<br>がむしゃらなくらいがちょうどいい！"""
sk_common_0240#0,"""聞きたいことはそれだけか？<br>それじゃあな！"""
sk_common_0250#0,"""……まったく、いろんな意味で<br>規格外な存在なのね、あれは。<br>あたしもまだまだだわ。"""
sk_common_0260#0,"""それじゃ、あたしはここで。<br>一緒にやれて、楽しかったわ。<br>また会いましょう。"""
sk_common_0270#0,"""聞いたことある名前のような……<br>聞いたことないような……"""
sk_common_0280#0,"""続いて、ハンターのオーザと<br>フォースのマールーのペア！"""
sk_common_0290#0,"""噂に聞く情報屋姉妹なんかも<br>結構頑張っているみたいだな！"""
sk_common_0300#0,"""誰？"""
sk_common_0310#0,"""……いいかクラリスクレイス。<br>大人になるって悲しいことなんだ。<br>時にはカンペも必要なんだよ。"""
sk_common_0320#0,"""とりあえず参加者の資料ぐらい<br>お前も読んでおこうな。"""
Name01#0,"""アッシュ"""
Name02#0,"""スゥ"""
Name03#0,"""ルピカ"""
Name04#0,"""ギリアム"""
