Title#0,"""ARKS戰艦的炎渦"""
Explanation#0,"""在ARKS戰艦的市區發生了火災<br>災害已經波及到來不及逃走的市民。<br>ARKS各成員在做好救援行動的準備後<br>前往現場消除火災，並救出受困民眾。<br>若擁有某樣具有特殊潛在能力的武器，<br>應該能更有效率的進行救援行動......<br>――――――――――――――――――――<br>得到【119】任務點數就算成功<br>救出受困民眾可獲得追加點數<br>失敗條件/超過限制時間"""
Title#1,"""アークスシップの炎渦"""
Explanation#1,"""アークスシップの市街地で火災が発生し<br>逃げ遅れた市民へ被害が広がっている。<br>アークス各員は救助活動の準備を整えた後<br>火災を消し止め、人命の救助に向かえ。<br>ある特殊な潜在能力を持つ武器があれば、<br>効率よく救助が行えるようだが……<br>――――――――――――――――――――<br>クエストポイント【119】達成でクリア<br>要救助者の救助でポイント獲得<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""救出受困民眾！<br>獲得任務點數！"""
SimpleExplanation#1,"""要救助者を救助し<br>クエストポイントをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
